start_sec;end_sec;speaker;text
0.000;7.000;MIGUEL;¿Qué pasa, pizarritas? Hoy tenemos un Q&A preparado sobre Liga y Champions que estoy seguro que os va a encantar,
7.000;13.000;MIGUEL;no solo por las preguntas sino porque como siempre están aquí a mi lado, metafóricamente hablando,
13.000;16.000;MIGUEL;Adrián Blanco, Alex de Llano, Nahuel Miranda. ¿Qué tal chicos, cómo estáis?
16.000;18.000;MIGUEL;¿Qué tal, muy buenas? ¿Cómo estamos?
18.000;20.000;MIGUEL;¿Qué tal? Hombre, gustará por las respuestas, ¿no?
20.000;23.000;MIGUEL;Bueno, bueno, yo creo que hay preguntas...
23.000;25.000;MIGUEL;Pero están en nuestras bocas, están en nuestras bocas.
25.000;29.000;MIGUEL;Hay una pregunta de padrura, que nunca el pobre, nunca el pobre sabe qué pregunta hacer.
29.000;33.000;MIGUEL;O sea, yo le veo sufriendo cada vez que pido preguntas en Twitter y se le ocurrió una.
33.000;41.000;MIGUEL;De hecho, vamos a empezar por ella, no sin antes, no sin antes pedirle a la gente que hypee el vídeo.
41.000;43.000;MIGUEL;¿Cómo? ¿Cómo?
43.000;47.000;MIGUEL;Porque YouTube ha creado una herramienta que no sé muy bien para qué sirve,
47.000;50.000;MIGUEL;pero que por lo visto funciona bastante bien de cara al algoritmo.
50.000;54.000;MIGUEL;No solo ya es el tema del like, del comentario, las cositas habituales,
55.000;59.000;MIGUEL;sino que también después de dar el like, si no me equivoco, sale el botón de hypear.
59.000;60.000;MIGUEL;Sí, sí, sí.
60.000;64.000;MIGUEL;Es la posibilidad de hypear tres vídeos al día, solo de pizarritas tenéis esa posibilidad, ¿vale?
64.000;68.000;MIGUEL;En el resto de canales de YouTube del mundo no está la opción habilitada, así que no...
68.000;69.000;MIGUEL;No se puede, no se puede.
69.000;74.000;MIGUEL;No perdáis el tiempo, porque no vais a hypear, pues el resto de cosas que se hacen que no...
75.000;79.000;ALEX;¿Hay algo más en YouTube? ¿Acaso que en el pizarrita? ¿Yo me meto?
79.000;80.000;MIGUEL;No.
80.000;81.000;MIGUEL;¿Pizarritas? En fin.
81.000;85.000;MIGUEL;No, no, no, ni en YouTube ni en Internet, así que si lo hypeáis, este Q&A,
85.000;89.000;MIGUEL;nosotros que os lo agradecemos para, sobre todo, ver cómo funciona este tema
89.000;95.000;MIGUEL;y ver si es realmente interesante de cara a daros la barrila el año que viene o los siguientes vídeos...
95.000;99.000;ALEX;¿Te imaginas que Internet fuera así? En plan, Pizarra del Norte.
100.000;101.000;ALEX;¿Cómo?
101.000;104.000;ALEX;Solo sale la cara de Miguel Quintana, ¿no?
105.000;107.000;ALEX;Me imagino a un mundo...
107.000;110.000;ALEX;Me imagino a un mundo que es Pizarra del Norte,
111.000;116.000;ALEX;que solo sale contenido de Pizarritas. Venía cargadito el de hoy, ¿vale?
116.000;121.000;MIGUEL;Sí, sí, sí, sí. Bueno, oye, mira, cada uno prepara los cubanés como quiere, ¿sabes?
121.000;126.000;NAHUEL;Y bueno, hay un disclaimer que viene cuando firmas el contrato de Pizarritas,
126.000;128.000;NAHUEL;que es que cada uno se haga cargo de lo suyo, ¿vale?
128.000;130.000;MIGUEL;Sí, sí, sí, por supuesto.
130.000;133.000;NAHUEL;Yo no me hago responsable de esto que estás soltando, Álex, que...
133.000;134.000;MIGUEL;No.
134.000;135.000;MIGUEL;No sabemos dónde viene, ¿vale?
135.000;139.000;MIGUEL;Claro, claro, no sabemos ni de dónde viene ni a dónde va, ni la razón de ser...
139.000;142.000;MIGUEL;A ver, tú has dicho, en Internet solo hay Pizarritas, ¿vale?
142.000;146.000;ALEX;Pues yo me imagino a un mundo en el que solo esto ocurriera de verdad.
146.000;149.000;ALEX;Entonces, tú imagínate, ¿no? La gente por la calle.
149.000;153.000;ALEX;Bueno, tal, hoy hay que ir a la estatua del querido líder, ¿no?
153.000;155.000;ALEX;El querido líder, Miguel Quintana, tal.
