start_sec;end_sec;speaker;text
0.000;2.400;SPEAKER_01;¿Qué pasa, pizarritas?
2.400;7.640;SPEAKER_01;Oye, que mañana hay clásico el primero de esta temporada en el fútbol español
7.640;11.440;SPEAKER_01;y tenemos que dar las grandes claves y no las vamos a dar solos.
11.440;15.000;SPEAKER_01;Ya estáis fijándoos en algo especial, ¿no?
15.000;18.760;SPEAKER_01;Bueno, Adrian Blanco, Álex de Llano, Nahuel Miranda, ¿qué tal chicos, cómo estáis?
18.760;22.360;SPEAKER_00;¿Qué tal chicos, muy buenas? ¿Cómo estamos? Ganas de clásico, ¿eh?
22.360;24.760;SPEAKER_01;¿Qué tal? Es un gran día para el canal hoy.
24.760;32.400;SPEAKER_01;Sí, porque tenemos nuevo socio tecnológico, tenemos nuevo partner con el que vamos a ir un paso más allá,
32.400;35.480;SPEAKER_01;con el que os vamos a ofrecer el mejor contenido.
35.480;41.760;SPEAKER_01;Bueno, tenemos la fortuna de colaborar a partir de ahora con el proyecto de la Liga Billones Tats,
41.760;45.560;SPEAKER_01;con las estadísticas que manejan básicamente Álex de Llano, los equipos de la Liga.
45.560;50.680;SPEAKER_01;Así que vamos a tener lo mismo, estadística avanzada top con los amigos de Microsoft.
50.720;54.720;SPEAKER_01;Y no estaba programado que nos fuésemos a estrenar con la previa del clásico.
54.720;58.920;SPEAKER_01;La verdad, de hecho, esto ya os habíamos hecho algún spoiler hace unas cuantas semanas,
58.920;64.000;SPEAKER_01;pero a veces las cosas son así, se cuadran de esta manera.
64.000;68.880;SPEAKER_01;No es un vídeo aislado, vamos a estar cada semana haciendo un vídeo con estadísticas top
68.880;73.720;SPEAKER_01;de Microsoft la Liga Billones Tats sobre los 20 equipos de la Liga, futbolistas,
73.720;75.960;SPEAKER_01;grandes previas de partidos como este.
75.960;80.280;SPEAKER_01;Y arrancamos de la mejor manera, con uno de los clásicos más esperados en los últimos años,
80.280;86.160;SPEAKER_01;lo comentamos en el Q&A ayer, Adri, aquí en el canal, que es un clásico con incertidumbre,
86.160;92.840;SPEAKER_01;con dudas, por eso también queremos arrojar ciertas luces con los datos que vamos a aportar hoy,
92.840;98.040;SPEAKER_01;con las 10 claves y luego también un clásico que tiene pinta de que va a tener mucha resonancia,
98.040;101.080;SPEAKER_01;mucha trascendencia, pase lo que pase.
101.080;105.240;SPEAKER_02;Eso siempre, eso siempre es un clásico y este tipo de partidos grandes,
105.320;111.640;SPEAKER_02;los clásicos, los derbies, marcan puntos de inflexión en la temporada, tanto del que gana como el que pierde,
111.640;117.960;SPEAKER_02;así que seguro que en un tiempo, unos meses, volveremos a este partido y diremos cómo llegaba el Barça,
117.960;121.880;SPEAKER_02;cómo llegaba el Madrid, lo que pasó aquel domingo en el Bernabéu y fíjate cómo están ahora.
121.880;129.520;SPEAKER_01;Pues, pizarritas, tenemos muchas ganas de este partido, nos hace mucha ilusión también este acuerdo
129.520;136.080;SPEAKER_01;con Billion Stats, es un paso adelante importante tanto a nivel de contenido como de proyecto en sí, así que...
136.080;137.680;SPEAKER_01;Un paso más allá incluso, ¿no?
137.680;142.680;SPEAKER_01;Sí, sí, estaba ahí, estaba ahí. Luego me dices de Nobelmendi, ¿eh? Luego me dices de Nobelmendi.
142.680;143.680;SPEAKER_01;Sí.
143.680;149.920;SPEAKER_01;Bueno, no, pero quiero decir, no era por el chiste, sino por la coherencia en el discurso, sí, sí.
149.920;150.920;SPEAKER_03;Exactamente.
150.920;159.480;SPEAKER_03;Son conceptos que hay que instaurar de a poco, pero bueno, es el primer día, es el primer día de muchos con suerte en esta nueva etapa.
159.520;163.040;SPEAKER_01;Exactamente, que no se asusten, ese es nuestro primer reto, luego ya que se enamoren, ¿no?
163.040;164.400;SPEAKER_01;Al final, bueno, eso es...
164.400;166.720;SPEAKER_01;En general en la vida suele ser así.
166.720;173.080;SPEAKER_01;Venga, vamos con las 10 claves, que es lo importante de este Real Madrid-Fútbol Club Barcelona partido mañana 4 y cuarto.
173.080;182.640;SPEAKER_01;Tenemos una primera clave, antitópicos podríamos decir, porque ¿cuántas veces Adrián Blanco has escuchado en los últimos años?
182.680;191.680;SPEAKER_01;Bueno, veo el clásico igualado, pero claro, el Madrid juega en el Bernabéu, un 5% más de opciones, ¿no? Pues no es así, ¿eh?
191.680;201.040;SPEAKER_02;Bueno, lo estoy escuchando ahora en la pérdida de este mismo clásico, es decir, creo que a cualquiera que le preguntes ahora mismo, te dirá, llegan los dos bastante igualados.
201.040;209.600;SPEAKER_02;Es un clásico bastante equilibrado, muy parejo, pero mira Quintana, como se juega en el Santiago-Bernabéu, como el Madrid será local, seguramente te dirán,
209.600;214.720;SPEAKER_02;le voy a dar ese puntito de extra al Madrid, ¿no? Si se jugase en Barcelona, se lo darían a los de Flick.
214.720;217.280;SPEAKER_02;No sé, creo que lo era así y no.
217.280;221.760;SPEAKER_01;Busca otro argumento, busca otro argumento. Saca la surface.
221.760;224.960;SPEAKER_01;Yo también tengo la mía, a ver si te crees que son los 50.
224.960;227.160;SPEAKER_01;Yo, yo.
227.160;230.160;SPEAKER_01;Y Nahuel también, para que...
230.160;231.640;SPEAKER_03;Podría ir a por ella, pero...
231.640;233.600;SPEAKER_01;No hace falta, vayamos al clásico.
233.680;242.240;SPEAKER_01;Vayamos al clásico y vamos a los datos, Ales, porque en esa surface de Microsoft tienes el argumento antitópico en la previa de este partido.
242.240;250.960;SPEAKER_00;Los precedentes en Madrid, cuatro victorias del Real Madrid, ningún empate y seis victorias del Barça en los últimos diez años en Liga.
250.960;258.360;SPEAKER_00;Hay que tener en cuenta que el diferencial de goles, ya lo estáis viendo, también es diferente, nunca mejor dicho, claro, pero con una diferencia importante.
258.360;259.360;SPEAKER_00;Ha multado.
259.360;260.360;SPEAKER_00;12-23.
260.520;264.880;SPEAKER_01;Sí, sí, sí, sí. Bueno, hay grandes goleadas, sobre todo del Barça para el Real Madrid.
264.880;269.400;SPEAKER_01;El balance es muy parejo, pero siempre el madridista dice, joder, a veces ganamos, pero no goleamos.
269.400;272.160;SPEAKER_01;Y el Barça, cada vez que está bien y nosotros mal, nos golean.
272.160;274.720;SPEAKER_01;Bueno, la mayoría de esas goleadas han llegado en el Bernabéu.
274.720;281.240;SPEAKER_01;Hay un 5-0 en el Camp Nou, pero la mayoría han sido en el Santiago Bernabéu.
