start_sec;end_sec;speaker;text
0.000;7.000;MIGUEL;¿Qué pasa, pizarritas? Hoy tenemos un Q&A bonito de verdad, porque venimos de Semana Champions,
7.000;14.000;MIGUEL;vamos hacia un fin de semana con Clásico, con Real Madrid y el Fútbol Club Barcelona, domingo a las 4 y cuarto.
14.000;22.000;MIGUEL;Tenemos cuestiones sobre la mal llamada ley benguer, porque yo la llamaría la ley Alejandro de Llano Fernández Aparicio.
22.000;26.000;MIGUEL;Bueno, tenemos mucho de lo que hablar. ¿Qué tal, Adri? ¿Ales Nauel, cómo estáis?
26.000;29.000;ADRIAN;Culpable Alex de Llano hasta que se demuestre lo contrario.
29.000;31.000;ADRIAN;¡Benguerismo barbarie, chavales!
31.000;38.000;MIGUEL;¿Qué tal? Muy buenas. Alejandro de Llano es el principal defensor de la ley benguer aquí en España.
38.000;40.000;ALEX;Lo digo. Su representante.
40.000;45.000;ALEX;¿Se me va a dejar hablar sobre mi posición? ¿Se me va a dejar hablar?
45.000;48.000;MIGUEL;Tu posición es en fuera de juego, precisamente.
48.000;50.000;MIGUEL;Depende. Se te va a dejar. Se te va a dejar.
50.000;51.000;MIGUEL;Vale, vale.
51.000;59.000;MIGUEL;Pero, que sepas, esta va a ser la última pregunta del Q&A, que se te va a dejar, pero… ¿qué decir?
59.000;61.000;ADRIAN;Te vamos a apretar.
61.000;64.000;ADRIAN;No todas las opiniones son respetables.
66.000;73.000;NAHUEL;Última pregunta que se va a enunciar en el minuto 57 y 47 segundos.
73.000;76.000;MIGUEL;¡Uff! Me gusta, me gusta.
76.000;79.000;NAHUEL;¿Puedeis apuntarlo? 57 y 47. ¿Vale?
79.000;80.000;MIGUEL;¿Vale?
80.000;81.000;MIGUEL;47 y 47, se va.
81.000;84.000;MIGUEL;Claro. Igual hay un pequeño delay con la grabación aquí, pero bueno.
84.000;87.000;MIGUEL;Segundo arriba, segundo abajo, lo damos por bueno.
87.000;89.000;MIGUEL;La gente lo dirá, ¿eh? No lo comprobaremos.
89.000;96.000;MIGUEL;La primera. La primera de ManelLit97. Es un poco sobre el clásico, pero a partir de lo que ha sido la semana Champions.
96.000;104.000;MIGUEL;Vale, chicos, porque nos preguntas si hemos disipado alguna duda o alguna de las dudas que teníamos con ambos equipos,
104.000;108.880;MIGUEL;porque la sensación es que viniendo de sitios diferentes,
108.880;112.400;MIGUEL;estando en estados o en situaciones del proyecto diferente,
112.400;118.040;MIGUEL;chicos, ninguno está perfecto y ninguno está avanzando.
118.040;121.520;MIGUEL;Yo creo que ese es el punto que desde el Metropolitano,
121.520;127.120;MIGUEL;en el caso del Real Madrid, y desde las lesiones y algún que
127.120;129.280;MIGUEL;otro mal partido del Fútbol Club Barcelona,
129.280;132.760;MIGUEL;ninguno está resolviendo pequeños problemitas que o tiene de
132.760;136.640;MIGUEL;origen en el caso del Real Madrid o se le están apareciendo en
136.640;137.720;MIGUEL;el caso del Fútbol Club Barcelona.
137.720;141.440;ADRIAN;Sí, honestamente creo que ninguno de los dos ha aprovechado
141.440;145.560;ADRIAN;la semana Champions para disipar esas dudas que puede arrastrar,
145.560;148.360;ADRIAN;sobre todo a nivel colectivo en cuanto al juego se refiere,
148.360;150.560;ADRIAN;porque la goleada del Barça fue engañosa,
150.560;153.320;ADRIAN;creo que en el 11 para 11 no fue tan superior como reflejó el
153.320;156.600;ADRIAN;resultado ante olimpiacos y creo que el Madrid mereció ganar
156.600;160.160;ADRIAN;ante la Juve y ganó su partido, pero volvimos a ver ciertos
160.160;162.720;ADRIAN;detalles en cuanto a juego y cierta irregularidad de los
162.720;164.560;ADRIAN;partidos que ya venimos conociendo.
164.560;168.960;ALEX;A nivel individual yo creo que nos han dejado los dos puntos muy
168.960;172.680;ALEX;altos, pasando por la portería del Real Madrid,
172.680;175.640;ALEX;viendo a buen Militao, viendo a un buen Ardaghuller,
175.640;180.120;ALEX;en el Barça, Fermín y Rashford marcando goles,
180.120;182.400;ALEX;adquiriendo esas sensaciones positivas,
182.400;186.280;ALEX;pero en lo que es lo colectivo, en lo que es el 11 para 11 del
186.280;189.360;ALEX;Barça, por ejemplo, olimpiacos generando problemas,
189.440;192.880;ALEX;en el Real Madrid cediendo demasiadas ocasiones a la Juve
192.880;195.480;ALEX;cuando se buscaba estirar, por lo tanto,
195.480;198.040;ALEX;está un poco el partido, te diría casi hasta en tierra de
198.040;202.160;ALEX;nadie, porque no sabemos bien bien quién va a saber sacarle
202.160;204.160;ALEX;más rentabilidad a la debilidad del otro,
204.160;206.200;ALEX;porque los dos vienen con debilidades,
206.200;208.200;ALEX;pero también con fortalezas que le pueden hacer daño al
208.200;209.080;MIGUEL;vecino.
209.080;213.160;MIGUEL;De hecho, Nao, es que hablábamos en la pizarra de Quintana en el
213.160;219.320;MIGUEL;programa del jueves, que esperamos un clásico más divertido
219.400;222.720;MIGUEL;que bueno y con bastantes goles.
222.720;225.400;MIGUEL;Luego, claro, esto cambia muy rápido,
225.400;228.040;MIGUEL;queda condicionado con cualquier acción.
228.040;230.920;MIGUEL;Además, nosotros mucho no sabemos y a lo lo decimos de
230.920;234.400;MIGUEL;antemano, pero sí que es verdad que no tengo la sensación de que
234.400;238.440;MIGUEL;ninguno sea capaz de anular por completo al otro.
238.440;240.400;ADRIAN;Un poco como la final de copa, no?
240.400;241.720;MIGUEL;Sí, yo creo que ese lío...
241.720;243.480;MIGUEL;Pero eso fue inesperado.
243.480;245.920;MIGUEL;En ese momento, yo creo que todos dábamos claramente
245.920;247.080;MIGUEL;favorito al Fútbol Club de Arzoná,
247.120;249.920;MIGUEL;pero el Madrid ya llegaba hecho unos zorros.
249.920;255.800;NAHUEL;E incluso por momentos parecido al clásico de Liga, no?
255.800;257.400;NAHUEL;El primero.
257.400;261.880;NAHUEL;No, no, el de Montjuic, el de la segunda vuelta.
261.880;264.520;NAHUEL;Es que tengo la sensación de que ambos se van a dejar muchas
264.520;266.840;NAHUEL;puertas abiertas por los virtudes y efectos que tienen,
266.840;269.360;NAHUEL;pero bueno, es que va a servir el clásico para medirlos.
269.360;272.000;NAHUEL;Yo creo que con lo de antes resulta un poco complicado y
272.000;273.880;NAHUEL;por eso tiene tanto atractivo el partido.
273.960;277.640;MIGUEL;De hecho, la segunda cuestión sobre el clásico que tenemos de
277.640;281.040;MIGUEL;Citizen of World, ¿vale?
281.040;283.880;MIGUEL;Habla sobre la trascendencia del clásico.
283.880;284.840;MIGUEL;Ivano del Mundo.
284.840;289.320;MIGUEL;Que esto es algo que igual podemos debatir el lunes cuando
289.320;291.880;MIGUEL;analizamos el partido o en el próximo Q&A,
291.880;295.160;MIGUEL;pero que creo que ya tiene también impacto en la previa.
295.160;298.920;MIGUEL;Es decir, según lo que cada equipo,
298.920;300.760;MIGUEL;cada entorno crea que se juega en el clásico,
300.760;303.400;MIGUEL;también puede quedar condicionado como salen los
303.400;306.120;MIGUEL;equipos, cómo reaccionan a por qué van.
306.120;310.440;MIGUEL;Digo esto porque Citizen of World pregunta,
310.440;312.920;MIGUEL;siendo conscientes de que es octubre,
312.920;315.360;MIGUEL;¿qué equipo creéis que se juega más en este clásico?
315.360;316.640;MIGUEL;¿El Madrid o el Barça?
316.640;318.960;MIGUEL;¿Por qué?
318.960;321.080;ALEX;Yo creo que el Madrid, ¿no?
321.080;322.320;MIGUEL;¿Por qué?
322.320;324.800;ALEX;Porque el Madrid viene de un batacazo en partido grande
324.800;325.600;ALEX;importante.
325.600;328.640;ALEX;Xavi Alonso también lo tuvo en el Mundial de Clubes contra el
328.640;329.560;ALEX;Paris Saint-Germain.
329.600;332.560;ALEX;Creo que es obviamente el que está más necesitado de,
332.560;333.440;ALEX;¿cómo decirlo?
333.440;333.760;ALEX;Crédito.
333.760;337.560;ALEX;No de tocar metal, pero sí de crédito, de adquirir alegrías,
337.560;339.360;ALEX;de que el equipo pueda ganar a un rival directo,
339.360;341.720;ALEX;como es en este caso el Fútbol Club Barcelona,
341.720;345.800;ALEX;más teniendo en cuenta lo que pasó la temporada pasada.
345.800;348.200;ALEX;Así que me parece que el que más tiene que ganar y el que más
348.200;349.920;ALEX;tiene que perder también es el Madrid.
349.920;351.200;NAHUEL;A ver, ¿están de acuerdo con alguien?
351.200;352.040;NAHUEL;Sí que ha perdido, ¿eh?
352.040;354.840;NAHUEL;O sea, quiero decir, creo que es bastante obvio.
354.840;356.720;NAHUEL;O sea, el Barça es un proyecto más largo que,
356.720;358.680;NAHUEL;además viene una muy buena temporada,
358.680;361.920;NAHUEL;tiene más crédito, no se ha pegado ningún trastazo como el
361.920;363.880;NAHUEL;del derbi que sí que se ha pegado el Real Madrid.
363.880;365.040;NAHUEL;Yo ahí lo veo.
365.040;367.360;MIGUEL;Pero yo también lo veo claro.
367.360;370.040;MIGUEL;Para mí Madrid tiene más que ganar y más que perder.
370.040;372.120;MIGUEL;Es un arma de doble filo que creo que puede llegar a
372.120;373.200;MIGUEL;condicionar el partido.
373.200;376.360;MIGUEL;Pero al mismo tiempo, Nau, también es cierto que segundo
376.360;381.000;MIGUEL;año proyecto de Flick, un Barça que no está jugando como el año
381.000;383.800;MIGUEL;pasado y del que hemos hablado siempre en las buenas y en las
383.800;387.400;MIGUEL;malas, que tiene que jugar al 100% porque si no es un modelo de
387.480;392.800;MIGUEL;juego tan riesgoso de base que empieza a hacer aguas y claro,
392.800;398.200;MIGUEL;podría ser una derrota dura según como sea el partido y
398.200;400.840;MIGUEL;empezar a perder distancia en liga.
400.840;405.480;MIGUEL;Nada preocupante, creo serían cinco puntos.
405.480;408.560;MIGUEL;Nada preocupante, pero como que podría marcar un punto de
408.560;412.000;MIGUEL;inflexión en la relación Madrid-Barça y en el estado
412.000;415.800;MIGUEL;anímico del Barça, porque creo que no hay ninguna crisis.
416.760;420.600;MIGUEL;En Barcelona no se ha declarado el estado de crisis ni de
420.600;424.280;MIGUEL;emergencia ni nada parecido, pero creo que cayendo en el
424.280;427.880;MIGUEL;Bernabéu algo parecido a eso sí que podría ser.
431.040;432.400;NAHUEL;No lo ves.
432.400;433.800;NAHUEL;No, no lo veo.
433.800;436.440;NAHUEL;O sea, quiere decir, por supuesto que te pintes la cara en un
436.440;441.240;NAHUEL;clásico, hombre, es complicado, pero de entrada, con resultados
441.240;445.520;NAHUEL;normales, mundanos, yo creo que se juega mucho más en Madrid.
445.560;447.760;ADRIAN;Estando de acuerdo que se juega más en Madrid, estoy de acuerdo
447.760;450.800;ADRIAN;con lo que estáis diciendo los tres, sí creo que es un
450.800;453.800;ADRIAN;partido importante para el Barça por las dudas que trae,
453.800;456.200;ADRIAN;porque todos visualizamos que si el Madrid gana el clásico lo
456.200;458.280;ADRIAN;va a hacer de una manera muy concreta, lo va a hacer poniendo
458.280;461.040;ADRIAN;a correr a Mbappé a la espalda de la defensa y de esos problemas
461.040;462.320;ADRIAN;en el fuera de juego.
462.320;464.760;ADRIAN;Y si el Madrid hace daño por ahí, cuidado porque igual
464.760;468.280;ADRIAN;empieza a generar ciertas dudas y le obliga a Hansi Plik a tomar
468.280;471.640;ADRIAN;ciertas decisiones que hasta ahora nos parecían difíciles
471.640;472.240;MIGUEL;que llegase.
472.240;474.520;MIGUEL;Tú dices, Adri, que sería no una derrota de equipo,
474.520;476.720;MIGUEL;sino una derrota de estilo y de modelo.
477.400;480.720;ADRIAN;Claro, igual eso empieza a sembrar ciertas dudas y empieza
480.720;483.640;ADRIAN;a provocar o obligar a Hansi Plik a tomar ciertas decisiones.
483.640;486.040;ADRIAN;Si no consigue volver a convencer a los jugadores de ataque
486.040;488.880;ADRIAN;de que presionen, igual tiene que darle una vuelta al estilo,
488.880;492.720;ADRIAN;una vuelta al modelo, porque creo que el Madrid, lo hemos
492.720;495.400;ADRIAN;analizado con las claves del clásico, creo que el Madrid sí
495.400;498.400;ADRIAN;está fino en ese último pase para poner a correr a Mbappé
498.840;501.240;ADRIAN;o hacerle mucho daño al Barça, tal y como viene defendiendo
501.240;501.960;ADRIAN;el Barça.
502.000;505.680;ALEX;Además, con una situación que hay que tener en cuenta,
505.680;510.320;ALEX;que es que yo creo que ninguna pareja de centrales le termina
510.320;513.200;ALEX;de convencer a Fliko, por lo menos a mí es la sensación que me da.
513.200;516.440;ALEX;Porque creo que no se acaba de creer el cuarcieric para partidos
516.440;517.280;ALEX;grandes.
517.280;518.120;ALEX;¿Tú crees que no?
518.120;518.720;ALEX;Tú crees que no.
518.720;520.400;ADRIAN;A cambiar incluso el perfil.
520.400;522.520;ALEX;De hecho, te digo una cosa.
522.520;526.280;ALEX;Lo que cuentan en Cataluña ahora o lo que contaban en la
526.280;528.760;ALEX;prensa catalana en las últimas horas es que Araujo va a ser
528.760;530.280;ALEX;titular.
530.280;532.280;ALEX;A partir de ahí ya es...
533.640;534.320;ALEX;Claro.
534.320;535.320;ALEX;No lo veo.
536.640;541.000;ALEX;Yo le vería sentido si Cundé fuese suplente.
542.120;542.840;MIGUEL;O sea, en derecha.
545.000;546.240;ALEX;¿Viendo como está el delantero?
549.240;551.720;ALEX;No está el balón para defensa del Madrid como para defender
551.720;552.720;ALEX;a Araujo.
554.960;559.440;ALEX;Pero no sé, sinceramente, yo creo que no se termina de creer a
559.440;560.440;ALEX;ninguna de las que ha visto.
560.440;563.240;ALEX;O sea, que Cuarci es el futbolista que le va a dar la
563.240;565.360;ALEX;salida, que es el que tiene que ahora dar ese paso hacia
565.360;566.320;ALEX;adelante.
566.320;569.720;ALEX;Pero ni Érica ha terminado de derribar la puerta como sí que lo
569.720;572.400;ALEX;hizo en momentos la temporada pasada que le vimos jugar muy
572.400;573.680;ALEX;bien incluso de lateral.
573.680;575.520;ALEX;No sé, a mí me da esa sensación.
575.520;578.440;MIGUEL;Yo tengo la sensación juntando un poco todo,
578.440;580.480;MIGUEL;tanto lo de la primera cuestión como lo de la segunda.
580.480;583.200;MIGUEL;Mañana ya analizaremos las grandes claves del clásico en un
583.200;584.120;MIGUEL;vídeo.
584.120;586.880;MIGUEL;Estrenamos Formatin y estrenamos Socio.
586.920;589.640;MIGUEL;Socio, esto es muy de los clubes.
589.640;591.560;MIGUEL;Socio tecnológico estrenamos.
591.560;592.080;MIGUEL;Vale.
592.080;593.240;ALEX;Socio.
593.240;595.120;MIGUEL;Socio.
595.120;601.240;MIGUEL;Decía que mis sensaciones que a ver, no, no, no, es un clásico.
601.240;603.560;MIGUEL;Pero firmarían un empate.
603.560;607.680;MIGUEL;Creo que el empate podría ser leído de forma positiva por los
607.680;608.320;MIGUEL;dos.
608.320;611.600;MIGUEL;Barça llega con bajas, un poquito de dudas.
611.600;613.760;MIGUEL;Venga, no me gana el Real Madrid.
613.760;615.800;MIGUEL;Real Madrid dice bueno, sí, tal, no sé qué,
615.800;620.440;MIGUEL;pero gano tiempo y ya por fin compito un partido ante un
620.440;621.280;MIGUEL;rival.
621.280;624.120;MIGUEL;Pues eso, absolutamente directo.
