start_sec;end_sec;speaker;text
0.000;3.760;MIGUEL;Hoy, pizarritas, tenemos un Q&A variadito.
3.840;5.600;MIGUEL;Vamos a hablar de fútbol de selecciones y de clubes.
5.680;8.800;MIGUEL;Si eso no es variadito, vosotros me diréis qué carajo es esto
8.880;12.680;MIGUEL;que vais a tener una hora delante mientras desayunáis, coméis, cenáis
12.760;15.520;MIGUEL;o os fumáis el piti de después.
15.600;18.520;MIGUEL;Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿qué tal, chicos? ¿Cómo estáis?
18.600;21.280;MIGUEL;¿Qué tal, chicos? Muy buenas. Hola, hola, ¿cómo estamos?
21.360;22.720;MIGUEL;¿Qué tal? Muy buenas.
22.800;25.440;MIGUEL;Me gusta que este sea un formato plenamente adaptable
25.520;29.560;MIGUEL;a cualquier tipo de acontecimiento diario de la gente, es decir...
29.600;32.320;MIGUEL;Sí. Normalmente nos ven comiendo.
32.400;35.640;ALEX;¿Diario? ¿Hay algo que has dicho diario? ¡Qué cuidado!
37.640;40.480;ALEX;Estoy casado, hermano. Por eso.
40.560;45.080;MIGUEL;Vas a hablarle de plátanos a papá mono.
45.160;48.360;NAHUEL;A lo Celso. El regreso de papá mono.
48.440;50.360;MIGUEL;¡Otra vez! Oye, hace poquito...
50.440;54.000;MIGUEL;No me hagas cagar el Twitter. Hace poquito, no sé quién fue,
54.080;56.960;MIGUEL;creo que un compañero de la selección argentina lo puso.
57.040;58.800;MIGUEL;Me lo pasó de Llano, si no me equivoco.
58.840;61.200;MIGUEL;Sí, sí, le puse algo de mono, sí, sí.
61.280;62.280;MIGUEL;Sí, sí, bueno.
62.360;64.080;MIGUEL;Tenemos mucho de lo que hablar
64.160;67.480;MIGUEL;y tenemos que arrancar con Argentina y con España.
67.560;69.640;MIGUEL;Ayer publicamos ese primer Power Ranking
69.720;72.560;MIGUEL;del top 10 de favoritos al Mundial 2026,
72.640;75.960;MIGUEL;pero vamos a darle un poquito de continuidad.
76.040;79.400;MIGUEL;Esperemos que sí. Vamos a darle un poquito de continuidad.
79.480;81.640;MIGUEL;A ver, Jerón 40, porque dice...
88.800;89.800;MIGUEL;Tiene pinta.
94.360;97.680;MIGUEL;Me gusta mucho la pregunta, porque nos gusta mucho,
97.760;99.200;MIGUEL;lo comentamos otro día, Nau,
99.280;101.640;MIGUEL;que la finalísima esté antes del Mundial,
101.720;104.600;MIGUEL;creo que le da un puntito de trascendencia,
104.680;109.800;MIGUEL;de rivalidad, de entidad muy considerable.
109.880;113.240;MIGUEL;Claro, pero claro, puede tener su aquel
113.320;115.880;MIGUEL;para aquel que gane en lo positivo y para aquel que pierda,
115.960;118.720;MIGUEL;sobre todo, diría, el que pierda en lo negativo.
118.800;122.400;NAHUEL;A ver, salvo que sea un partido como aquel amistoso
122.480;124.960;NAHUEL;en el Metropolitano antes del Mundial de Rusia,
125.040;127.440;NAHUEL;no creo que deba cambiar grandes cosas.
127.520;130.240;NAHUEL;Es cierto que, claro, es que el precedente que tenemos,
130.320;132.560;NAHUEL;había una selección que no fue al Mundial,
132.640;134.040;NAHUEL;que, claro...
134.920;135.920;NAHUEL;Sí.
136.000;138.520;NAHUEL;Aquella Italia, bueno, en paz descanse.
138.600;141.560;NAHUEL;Y no sabemos cómo lo llegó a afectar.
141.640;144.680;NAHUEL;Pero bueno, a mí me parece positivo
144.760;146.240;NAHUEL;y creo que...
146.280;150.400;NAHUEL;Me cuesta ver una goleada o algo así muy escandaloso.
150.480;154.120;NAHUEL;Si es algo así, puede cambiar cosas, pero lo más normal es que no.
