start_sec;end_sec;speaker;text
0.000;7.000;SPEAKER_03;¿Qué pasa, pizarritas? Hoy tenemos un Q&A bonito de verdad, porque venimos de Semana Champions,
7.000;14.000;SPEAKER_03;vamos hacia un fin de semana con Clásico, con Real Madrid y el Fútbol Club Barcelona, domingo a las 4 y cuarto.
14.000;22.000;SPEAKER_03;Tenemos cuestiones sobre la mal llamada ley benguer, porque yo la llamaría la ley Alejandro de Llano Fernández Aparicio.
22.000;26.000;SPEAKER_03;Bueno, tenemos mucho de lo que hablar. ¿Qué tal, Adri? ¿Ales Nauel, cómo estáis?
26.000;29.000;SPEAKER_01;Culpable Alex de Llano hasta que se demuestre lo contrario.
29.000;31.000;SPEAKER_01;¡Benguerismo barbarie, chavales!
31.000;38.000;SPEAKER_03;¿Qué tal? Muy buenas. Alejandro de Llano es el principal defensor de la ley benguer aquí en España.
38.000;40.000;SPEAKER_00;Lo digo. Su representante.
40.000;45.000;SPEAKER_00;¿Se me va a dejar hablar sobre mi posición? ¿Se me va a dejar hablar?
45.000;48.000;SPEAKER_03;Tu posición es en fuera de juego, precisamente.
48.000;50.000;SPEAKER_03;Depende. Se te va a dejar. Se te va a dejar.
50.000;51.000;SPEAKER_03;Vale, vale.
51.000;59.000;SPEAKER_03;Pero, que sepas, esta va a ser la última pregunta del Q&A, que se te va a dejar, pero… ¿qué decir?
59.000;61.000;SPEAKER_01;Te vamos a apretar.
61.000;64.000;SPEAKER_01;No todas las opiniones son respetables.
66.000;73.000;SPEAKER_02;Última pregunta que se va a enunciar en el minuto 57 y 47 segundos.
73.000;76.000;SPEAKER_03;¡Uff! Me gusta, me gusta.
76.000;79.000;SPEAKER_02;¿Puedeis apuntarlo? 57 y 47. ¿Vale?
79.000;80.000;SPEAKER_03;¿Vale?
80.000;81.000;SPEAKER_03;47 y 47, se va.
81.000;84.000;SPEAKER_03;Claro. Igual hay un pequeño delay con la grabación aquí, pero bueno.
84.000;87.000;SPEAKER_03;Segundo arriba, segundo abajo, lo damos por bueno.
87.000;89.000;SPEAKER_03;La gente lo dirá, ¿eh? No lo comprobaremos.
89.000;96.000;SPEAKER_03;La primera. La primera de ManelLit97. Es un poco sobre el clásico, pero a partir de lo que ha sido la semana Champions.
96.000;104.000;SPEAKER_03;Vale, chicos, porque nos preguntas si hemos disipado alguna duda o alguna de las dudas que teníamos con ambos equipos,
104.000;108.880;SPEAKER_03;porque la sensación es que viniendo de sitios diferentes,
108.880;112.400;SPEAKER_03;estando en estados o en situaciones del proyecto diferente,
112.400;118.040;SPEAKER_03;chicos, ninguno está perfecto y ninguno está avanzando.
118.040;121.520;SPEAKER_03;Yo creo que ese es el punto que desde el Metropolitano,
121.520;127.120;SPEAKER_03;en el caso del Real Madrid, y desde las lesiones y algún que
127.120;129.280;SPEAKER_03;otro mal partido del Fútbol Club Barcelona,
129.280;132.760;SPEAKER_03;ninguno está resolviendo pequeños problemitas que o tiene de
132.760;136.640;SPEAKER_03;origen en el caso del Real Madrid o se le están apareciendo en
136.640;137.720;SPEAKER_03;el caso del Fútbol Club Barcelona.
137.720;141.440;SPEAKER_01;Sí, honestamente creo que ninguno de los dos ha aprovechado
141.440;145.560;SPEAKER_01;la semana Champions para disipar esas dudas que puede arrastrar,
145.560;148.360;SPEAKER_01;sobre todo a nivel colectivo en cuanto al juego se refiere,
148.360;150.560;SPEAKER_01;porque la goleada del Barça fue engañosa,
150.560;153.320;SPEAKER_01;creo que en el 11 para 11 no fue tan superior como reflejó el
153.320;156.600;SPEAKER_01;resultado ante olimpiacos y creo que el Madrid mereció ganar
156.600;160.160;SPEAKER_01;ante la Juve y ganó su partido, pero volvimos a ver ciertos
160.160;162.720;SPEAKER_01;detalles en cuanto a juego y cierta irregularidad de los
162.720;164.560;SPEAKER_01;partidos que ya venimos conociendo.
164.560;168.960;SPEAKER_00;A nivel individual yo creo que nos han dejado los dos puntos muy
168.960;172.680;SPEAKER_00;altos, pasando por la portería del Real Madrid,
172.680;175.640;SPEAKER_00;viendo a buen Militao, viendo a un buen Ardaghuller,
175.640;180.120;SPEAKER_00;en el Barça, Fermín y Rashford marcando goles,
180.120;182.400;SPEAKER_00;adquiriendo esas sensaciones positivas,
182.400;186.280;SPEAKER_00;pero en lo que es lo colectivo, en lo que es el 11 para 11 del
186.280;189.360;SPEAKER_00;Barça, por ejemplo, olimpiacos generando problemas,
189.440;192.880;SPEAKER_00;en el Real Madrid cediendo demasiadas ocasiones a la Juve
192.880;195.480;SPEAKER_00;cuando se buscaba estirar, por lo tanto,
195.480;198.040;SPEAKER_00;está un poco el partido, te diría casi hasta en tierra de
198.040;202.160;SPEAKER_00;nadie, porque no sabemos bien bien quién va a saber sacarle
202.160;204.160;SPEAKER_00;más rentabilidad a la debilidad del otro,
204.160;206.200;SPEAKER_00;porque los dos vienen con debilidades,
206.200;208.200;SPEAKER_00;pero también con fortalezas que le pueden hacer daño al
