start_sec;end_sec;speaker;text
0.000;7.200;SPEAKER_00;2-0 ante Georgia, 4-0 ante Bulgaria. De nuevo, un parón de selecciones muy positivo para
7.200;11.600;SPEAKER_00;el fútbol español, para la selección de Luis de la Fuente. Quiero que le pongáis
11.600;16.480;SPEAKER_00;una nota, teniendo en cuenta también la exigencia de los rivales, el nivel de juego, las noticias
16.480;20.840;SPEAKER_00;positivas que han dejado los futbolistas, antes de que entremos a comentar y analizar
20.840;24.120;SPEAKER_00;lo mejor del parón y también lo peor que alguna cosita hay.
24.120;25.120;SPEAKER_02;Un 9.
25.120;26.120;SPEAKER_02;Un 10.
27.120;28.120;SPEAKER_02;Sí, un 10.
28.120;29.120;SPEAKER_02;Sí.
29.120;36.440;SPEAKER_02;Pero quiero decir, sacar un 10 en el típico test que te hace el profesor para saber un
36.440;37.440;SPEAKER_02;poquito dónde estás, ¿no?
37.440;38.440;SPEAKER_02;Cuando te metes en la clase de idiomas…
38.440;39.440;SPEAKER_02;Pero hay que sacarlo.
39.440;40.440;SPEAKER_02;Claro, claro.
40.440;43.440;SPEAKER_02;¿Cómo hacer la plática del carné teórico?
43.440;47.480;SPEAKER_02;Esta españa para estudiar el C2.
47.480;48.480;SPEAKER_02;Vale.
48.480;49.480;SPEAKER_02;Pero quiero decir…
49.480;50.960;SPEAKER_00;Yo le pongo un 9.
50.960;51.960;SPEAKER_00;Yo le pongo un 9.
51.960;54.440;SPEAKER_00;Creo, eso sí, que los resultados han sido más cortos…
54.440;55.440;SPEAKER_00;Claro.
55.440;56.440;SPEAKER_00;Sí, claro.
56.440;61.000;SPEAKER_00;Ahí hay un puntito negativo que luego vamos a comentar, por eso le pongo el 9.
61.000;65.080;SPEAKER_00;En todo caso, tenemos mucho de lo que hablar en lo más destacado.
65.080;72.280;SPEAKER_00;El primer punto, Nahuel, es que España juega de memoria, pero jugando de memoria estamos
72.280;77.600;SPEAKER_00;viendo cómo la competitividad interna está siendo muy positiva en este momento del ciclo.
77.600;82.280;SPEAKER_00;Es decir, España ya ganó la Eurocopa, llegó a la final de la Nations, tenemos una convocatoria
83.280;85.760;SPEAKER_00;donde de 26-21 son fijos.
85.760;91.680;SPEAKER_00;En el once titular hay una duda y puede haber también otra.
91.680;94.840;SPEAKER_00;El tercer centro campista, el segundo central…
94.840;96.720;SPEAKER_00;Pero más o menos tenemos claro cuál va a ser.
96.720;102.280;SPEAKER_00;Y aún así, la sensación es que los futbolistas están jugando y compitiendo como si no hubiesen
102.280;104.640;SPEAKER_00;ganado y como si no hubiese nada seguro.
104.640;106.680;SPEAKER_00;Y eso me parece la mejor de las noticias.
106.680;109.360;SPEAKER_02;Sí, no tiene que ver con la situación de la selección, sino con la situación de los
109.360;114.520;SPEAKER_02;propios futbolistas que quieren estar teniendo protagonismo en este momento tan dulce de
114.520;115.520;SPEAKER_02;la selección.
115.520;119.200;SPEAKER_02;Cuando la selección gana todos quieren estar y creo que eso el equipo lo transmite.
119.200;123.360;SPEAKER_02;A pesar de tener la sensación de que España estaba clasificada hace rato, que no tiene
123.360;125.080;SPEAKER_02;ningún rival muy claro en esta…
125.080;127.920;SPEAKER_00;Bueno, parecía que estábamos clasificados antes de empezar la clasificación.
127.920;128.920;SPEAKER_00;Bueno, es que…
128.920;129.920;SPEAKER_02;Lo dijo Luis de la Fuente.
129.920;130.920;SPEAKER_02;Sí.
130.920;133.040;SPEAKER_02;Luego ves cómo va las cosas después de cuatro jornadas y lo entiendes.
133.040;136.360;SPEAKER_02;Porque España no ha encajado, porque tiene facilidad para marcar, porque…
136.360;138.920;SPEAKER_00;¿Cuántos partidos son sin perder ya?
138.960;141.680;SPEAKER_02;Son 29, creo que es el récord de Vicente del Bosque.
141.680;147.720;SPEAKER_02;No sé, yo creo que la situación de la selección no te hace apretar.
147.720;151.320;SPEAKER_02;Te hace apretar que si tú eres Grimaldo y juegas el partido contra la Bulgaria y dices
151.320;154.680;SPEAKER_02;oye, yo tengo que apretar para dar a la cómplica las cosas a Cucurella y creo que esto pasa
154.680;156.440;SPEAKER_02;en cada posición del terreno de juego.
156.440;161.320;SPEAKER_00;Creo que también tiene mucho que ver con lo que no vemos y que es la gestión de grupo.
161.320;165.960;SPEAKER_00;O sea, da la sensación de que los futbolistas, aparte de querer estar en el Mundial, que
166.200;171.160;SPEAKER_00;evidentemente es lo más grande para un futbolista y no lo decimos nosotros, lo dicen ellos,
171.160;173.320;SPEAKER_00;disfrutan en los parones.
173.320;177.960;SPEAKER_00;Antes podía ser algo más rutinario.
177.960;180.880;SPEAKER_00;Hay momentos de la temporada, creo que el de marzo que a veces también se hace un poquito
180.880;184.120;SPEAKER_00;más cuesta arriba con los futbolistas que están en rondas finales de competiciones
184.120;185.120;SPEAKER_00;grandes.
185.120;190.960;SPEAKER_00;Pero ellos están deseando jugar con la selección y esto se nota luego en el terreno de juego.
190.960;192.280;SPEAKER_01;Se nota, se nota muchísimo.
192.280;195.880;SPEAKER_01;Y mira que este parón había empezado un poco con una anébulosa un poco extraña.
195.880;196.880;SPEAKER_01;Por eso digo.
196.880;198.160;SPEAKER_01;Con el tema de la Minyamal, todo el tema tal.
198.160;201.920;SPEAKER_01;Pero aún así España ha sabido salir muy reforzada a nivel de selección.
201.920;207.320;SPEAKER_01;No tenemos a la Minyamal en este parón, tampoco viene Nico Williams, no viene Álvaro Morata.
207.320;208.320;SPEAKER_01;Rodri.
208.320;213.520;SPEAKER_01;Rodri, Carvajal, no vamos a probar diferentes posiciones, diferentes jugadores.
213.520;216.160;SPEAKER_01;Ya han terminado todos por dar un rendimiento excepcional.
216.160;220.920;SPEAKER_01;Otro parón de selecciones en el que no está Fabián Ruiz y en el que Miquel Merino se sale.
220.920;223.840;SPEAKER_01;Otro parón de selecciones en el que Miquel lo ha arzado al par de como nueve y que vuelve
223.840;224.840;SPEAKER_01;a mojar.
224.840;229.000;SPEAKER_01;Otro parón de selecciones en el que tiene España que probar distintos jugadores en
229.000;232.080;SPEAKER_01;el lateral derecho y los que han jugado han reído muy bien.
232.080;235.320;SPEAKER_01;Tanto Pedro Porro como Marcos Llorente en esos momentos los que han jugado.
235.320;236.320;SPEAKER_01;Es que todo positivo.
236.320;242.760;SPEAKER_00;Yo es que lo resumiría en que ahora mismo, igual hay alguno, pero todos los futbolistas
242.760;247.440;SPEAKER_00;u ofrecen su mejor versión con la selección o igualan la que tienen con el club.
247.440;248.440;SPEAKER_00;Sí, es un buen asumen.
248.440;249.440;SPEAKER_00;Que esto no es fácil decirlo.
249.440;254.160;SPEAKER_00;Esto creo que se puede decir ahora mismo de Argentina e igual ya está.
254.320;258.880;SPEAKER_00;Esto no lo vemos con Inglaterra, no lo vemos con Francia, no lo vemos con Brasil, con
258.880;261.200;SPEAKER_00;Portugal hay dudas en ciertos nombres.
261.200;263.200;SPEAKER_00;Antes teníamos la duda de Pedri, por ejemplo.
263.200;265.880;SPEAKER_00;Teníamos alguna duda con algún que otro futbolista.
265.880;269.960;SPEAKER_00;Pero el mejor Cucurella, bueno, juega en el Chelsea, sí, pero sobre todo en la selección
269.960;270.960;SPEAKER_00;española.
270.960;274.040;SPEAKER_00;El mejor Miquel Merino, yo creo que en la España de Luis de la Fuente rinde más que
274.040;277.480;SPEAKER_00;en el Arsenal de Miquel Artetal, aunque sea solo por el contexto y así con todos los
277.480;278.480;SPEAKER_03;nombres.
278.480;281.800;SPEAKER_03;Sí, al hilo de esa competencia interna que es bastante sana, porque todo el mundo quiere
281.800;283.320;SPEAKER_03;apuntarse a la Eurocopa.
283.320;286.720;SPEAKER_03;El otro ya analizábamos al Mundial, perdón, al Mundial, que hay varios puestos que todavía
