start_sec;end_sec;speaker;text
0.000;4.880;SPEAKER_01;Hoy una de las cuestiones que vamos a tratar en este siempre picadito y variadito Q&A
4.880;9.400;SPEAKER_01;es el equipo que tiene mejor banquillo de la Liga Española.
17.880;24.200;SPEAKER_01;¿Qué pasa? Pizzarritas, ya es viernes, por fin ya es viernes y estamos aquí en Pizzarritas, claro,
24.200;28.160;SPEAKER_01;donde si no para hacer un Q&A variadito y picadito con Adrián Blanco,
28.160;34.520;SPEAKER_01;Alex de Llano y Naguel Miranda. ¿Qué tal chicos? ¿Cómo estáis? Muy buenas. Aquí estamos. Ya os veo
34.520;44.600;SPEAKER_01;elegantes, no tanto a Adrián Blanco, la verdad, no le veo... Espérate, espérate. Yo... Es... Anclando ya,
44.600;52.920;SPEAKER_00;minuto uno. Temporada, temporada de bodas, bautizos y comuniones. Así que el bebé en el bautizo,
52.920;59.920;SPEAKER_00;el novio en la boda y el chaval o la chavala haciendo la comunión que se pongan los calcetines.
59.920;69.160;SPEAKER_00;Bien, bien, bien. La barra de Toni Kroos. Bien, bien, bien. Los he dejado así porque ponermelos y enseñar la pierna creo que no tocaba.
69.160;78.840;SPEAKER_01;Bueno, bueno. Vuelves a por otra. Yo creo que enseñar tu pierna, vista la pierna que estás sacando, podría darnos...
78.840;86.560;SPEAKER_00;Y más ahora con la laser, que me está sacando la pierna. Pfff. Precioso. Sí, sí. Ha venido Adrián Blanco con el niño.
86.560;99.720;SPEAKER_01;Ayer o antes de ayer en San Jordi vino mucha novia de pizarrita, un tanto harta y frustrada con nosotros
99.720;103.160;SPEAKER_01;porque hay muchos pizarritas, sobre todo los directores de Champions, que claro, nos ven para
103.160;111.920;SPEAKER_01;para dormir ya en la cama. Y claro, igual la muchacha quiere leer, quiere ver sus cosas o quiere dormir.
111.920;119.480;SPEAKER_01;Y tienes ahí al pibardo de turno molestándola. Entonces enseñar la pierna de Adrián Blanco igual podría ser...
119.480;127.920;SPEAKER_01;Puede aunar, puede aunar. Claro, un buen quid pro quo en este caso en este caso concreto. En todo caso, más allá de los calcetines
127.920;134.080;SPEAKER_01;En cambio de Adrián Blanco tenemos sudaderas, tenemos camisetones, este tipo de camiseta.
134.080;138.640;SPEAKER_01;A ver, aquí en cámara, date la vuelta, Nau. Es que está armado por detrás.
138.640;147.360;SPEAKER_03;A ver, al público. Ahí está. Suba un poquito, Nau. Muy guapa.
147.360;154.960;SPEAKER_02;Un poquito, Nau. Que no escucho. O sea, para girarme tengo que dejar de escuchar. Ya está.
155.680;163.040;SPEAKER_02;El pase de modelos hasta aquí. Oye, pero como Gambea está siempre con nosotros en nuestras vidas, seguro que hay más oportunidades.
163.040;166.240;SPEAKER_01;Hay que decir que Gambea también hace calzoncillos.
168.960;170.000;SPEAKER_01;Oye, me han llamado.
172.480;182.800;SPEAKER_01;Para esa promo todavía queda, en todo caso, tenéis un 10% pizarritas con el código pizarritas10 para esos calcetines, las sudaderas, las camisetas o ese calzoncillo que...
183.760;185.760;SPEAKER_01;En una primera cita no falla.
