start_sec;end_sec;speaker;text
0.000;4.600;SPEAKER_01;Estamos saliendo del parón de selecciones, vuelve la Premier League y para retomar toda
4.600;9.920;SPEAKER_01;esta dinámica del fútbol de liga de primera división inglesa, hoy os vamos a decir una
9.920;14.360;SPEAKER_01;cosa que nos ha gustado de cada club de la Premier y una cosa que no nos ha gustado en
14.360;15.360;SPEAKER_01;este inicio.
15.360;25.200;SPEAKER_01;Y para darle variedad, pues cada uno de los tres, Pablo, Chozas y yo hemos escogido una
25.200;27.800;SPEAKER_01;cosa que nos ha gustado y una cosa que no.
27.800;30.240;SPEAKER_01;¿Cuál ha sido la mayor putada?
30.240;31.720;SPEAKER_01;Pues que yo he llegado al último.
31.720;35.520;SPEAKER_01;Entonces la mayor parte de las cosas pues ya las habéis dicho vosotros, así que he
35.520;36.520;SPEAKER_01;tenido que ser creativo.
36.520;39.280;SPEAKER_00;Hay que explicar que Chozas fue el primero.
39.280;40.280;SPEAKER_00;Así que cuando...
40.280;41.280;SPEAKER_00;Bueno, y dejé cosas.
41.280;44.000;SPEAKER_00;No, si todo el mundo decís, joe, me gustan más las opciones de Chozas.
44.000;45.920;SPEAKER_00;Es decir, que a mí también me gustan.
45.920;48.360;SPEAKER_00;Yo hubiera puesto la de Chozas si yo hubiera podido.
48.360;53.120;SPEAKER_01;Hemos querido hacer una especie de repaso también con un poco de opinión para situarnos
53.120;55.280;SPEAKER_01;sobre los 20 equipos de la Premier League.
55.280;57.040;SPEAKER_01;Así que la premisa es muy sencilla.
57.040;59.840;SPEAKER_01;Una cosa que nos ha gustado de cada uno, una cosa que no nos ha gustado de cada uno,
59.840;60.840;SPEAKER_01;puede ser cualquier cosa.
60.840;65.720;SPEAKER_01;Es de un aspecto más grupal o de equipo, como un aspecto más individual de un jugador
65.720;68.400;SPEAKER_01;o cosas que te han querido la directiva.
68.400;69.400;SPEAKER_01;Que no le ha gustado la camiseta, los colores.
69.400;71.520;SPEAKER_01;Podría ser la camiseta, aunque no lo hemos elegido.
71.520;72.520;SPEAKER_01;Empezamos.
72.520;77.920;SPEAKER_01;Vamos a hacer el orden según la clasificación después de esta séptima jornada con el Arsenal.
77.920;79.280;SPEAKER_01;Así que vamos allá.
79.280;81.960;SPEAKER_01;Chozas, ¿qué es lo que te ha gustado del Arsenal?
81.960;82.960;SPEAKER_00;Tengo ninguna duda.
82.960;83.960;SPEAKER_00;Martín Zubimendi.
83.960;89.280;SPEAKER_00;Me parece que no ha necesitado ningún tipo de periodo de adaptación a la Premier League
89.280;92.760;SPEAKER_00;y que aparte de lo que ya le presuponíamos en fase defensiva, en fase ofensiva está
92.760;93.760;SPEAKER_00;aportando muchísimo.
93.760;96.200;SPEAKER_00;Último pase, penúltimo y golazos.
96.200;97.200;SPEAKER_01;Y golazos además.
97.200;99.560;SPEAKER_01;Pablo, ¿qué es lo que te ha gustado del Arsenal?
99.560;100.560;SPEAKER_00;Calafiori.
100.560;103.160;SPEAKER_00;Por primera vez en el Arsenal está siendo importante.
103.160;106.880;SPEAKER_00;Además, también está teniendo continuidad física, que el año pasado tuvo muchas lesiones.
106.880;110.120;SPEAKER_00;Yo me lo esperaba como un lateral que iba a ser importante en el Arsenal.
110.320;113.920;SPEAKER_00;Teniendo mucho recorrido porque esa banda izquierda iba a ser para Beretsi ese.
113.920;116.200;SPEAKER_00;Cuando lo ha tenido que hacer, lo ha hecho bien, porque a mí me ha gustado mucho cuando
