start_sec;end_sec;speaker;text
0.000;3.680;MIGUEL;Fichar al fotolista que está en lo más alto, en la cresta de la ola
3.840;4.600;MIGUEL;Ah...
4.720;6.360;MIGUEL;en realidad es muy fácil, frateritos.
6.480;8.160;MIGUEL;Hay que tener dinero. Claro.
8.280;10.760;MIGUEL;Que es algo que nosotros, en abundancia...
10.880;12.400;MIGUEL;Bueno... Depende.
12.520;14.720;MIGUEL;Depende. Ahora que es la época de la renta...
14.840;17.240;MIGUEL;Ahora qué lo dices. Hablo a título personal.
17.360;18.800;MIGUEL;Si quieres ceder un poco...
18.920;20.160;MIGUEL;Pero, pero, pero...
20.640;23.120;MIGUEL;Y si no puedes, como vosotros, que sois...
23.240;24.680;ALEX;Bueno... Gente a pie.
24.800;26.080;ALEX;Sí. Gente trabajadora.
26.200;29.560;MIGUEL;Y tenéis que fichar a ese jugador que está en un momento más bajo.
29.640;31.680;MIGUEL;Como el Betis, ¿no? Con Anthony.
31.800;33.160;MIGUEL;Por ejemplo. Por ejemplo.
33.280;35.080;MIGUEL;Hoy vamos a hablar de futbolistas
35.200;37.120;MIGUEL;que están un poquito devaluados,
37.240;39.880;MIGUEL;pero que eso les hace más accesibles.
48.280;51.320;MIGUEL;Hoy, como decía, vamos a hacer un once de futbolistas
51.440;54.560;MIGUEL;que, bueno, están perdiendo valor en el mercado,
54.680;57.360;MIGUEL;están atravesando un momento difícil en sus carreras,
57.400;60.200;MIGUEL;pero precisamente por eso igual es el momento
60.320;61.680;MIGUEL;para apostar por ellos.
61.800;63.680;MIGUEL;En este sentido, yo siempre recuerdo a Adri
63.800;66.400;MIGUEL;la historia que contaba Monchi sobre Lucas Ocampos.
66.520;67.600;MIGUEL;Ponía ese ejemplo
67.720;70.080;MIGUEL;que también ha seguido con otros nombres propios.
70.200;73.280;MIGUEL;A Lucas Ocampos el Sevilla le había seguido durante tiempo.
73.400;76.800;MIGUEL;Cuando llega a Europa, cuando ficha por el OM,
76.920;78.240;MIGUEL;estaba el Sevilla detrás,
78.360;82.040;MIGUEL;no puede alcanzar las cifras que termina pagando el conjunto francés,
82.160;84.640;MIGUEL;pero el Sevilla le sigue siguiendo.
84.760;86.360;MIGUEL;Valga la redundancia.
86.680;91.040;MIGUEL;Y cuando ve que Lucas Ocampos parece que ya está cansado de Marsella,
91.160;93.360;MIGUEL;que no está ofreciendo el máximo nivel,
93.480;95.480;MIGUEL;el Sevilla va, se lo lleva
95.600;98.800;MIGUEL;y le saca un gran rendimiento económico y deportivo.
99.320;101.200;MIGUEL;Claro, no siempre luego sale así,
101.320;103.240;MIGUEL;pero es verdad que muchas veces
103.360;106.280;MIGUEL;el momento de fichar es justo cuando jugadores
106.400;109.920;MIGUEL;que han movido mucha pasta no encajan en esos grandes clubes
110.040;111.400;MIGUEL;y van perdiendo ese valor.
111.520;113.600;ADRIAN;Sí, es el momento para arriesgar con ellos.
113.640;117.000;ADRIAN;Es verdad que para hacer este tipo de apuestas en el mercado
117.120;120.400;ADRIAN;tiene que ser un proyecto sano, un proyecto bien llevado,
120.520;123.040;ADRIAN;porque son apuestas que te pueden salir muy bien,
123.160;126.320;ADRIAN;como el caso de Lucas Ocampos, pero también ha habido apuestas
126.440;129.240;ADRIAN;de jugadores que venían a menos y se hunden en tu club.
129.360;133.000;MIGUEL;En este sentido, vamos a hablar de algún jugador del Manchester United,
133.120;136.320;MIGUEL;pero todos aquellos fútbolistas que salen del Manchester United
136.440;137.680;MIGUEL;se encuentran en la luz.
137.800;141.000;MIGUEL;Desde Chris Smolin a Anthony, pasando por…
141.120;143.040;MIGUEL;Bueno, Jadon Sancho en el Dortmund.
143.080;144.560;ALEX;Estuvo bien en el Villa.
144.680;146.480;ALEX;Lo de McTominay es un caso…
146.600;148.080;ALEX;McTominay. Frank Freed.
148.200;149.680;MIGUEL;Crack. Quiero decir…
149.800;152.720;MIGUEL;El Manchester United tiene algún que otro nombre.
152.840;157.480;MIGUEL;Hemos elaborado un once en un 4-4-2 con un poquito de todo.
157.600;159.240;ALEX;Bueno, canónico tampoco te pases.
159.360;162.680;ALEX;Canónico para la factoría Red Bull, porque es un 4-2-2-2-2.
162.800;164.080;ALEX;Sí, es ofensivo. Vale.
164.200;165.520;MIGUEL;Vamos de cara. Me gusta.
165.640;166.960;MIGUEL;Hay que apostar por ellos.
167.080;169.760;MIGUEL;En portería, hay que decir que nos ha costado encontrar
169.880;171.840;MIGUEL;un nombre muy, muy concreto.
171.840;173.920;MIGUEL;El primero que se nos venía a la cabeza
174.040;176.880;MIGUEL;por estar devaluado en un equipo en el que no ha funcionado
177.000;178.080;MIGUEL;es Andreo Nana.
178.200;179.200;NAHUEL;Pero, claro…
180.720;182.680;MIGUEL;Darle un oportunazo a Andreo Nana…
182.800;185.000;NAHUEL;Hostia, cuesta más, eh. Valente.
185.120;187.040;NAHUEL;Bueno, un portero de 50 kilos.
187.960;189.880;NAHUEL;A ver cuánto… Está bueno.
190.000;193.480;NAHUEL;A ver cuántos equipos se pueden permitir
193.600;196.440;NAHUEL;un Nana en plenitud en el Inter.
196.560;198.840;MIGUEL;Estuvo un poco sobrepagado en su momento.
198.960;200.320;NAHUEL;Bueno, sí, pero…
200.520;203.240;NAHUEL;Yo creo que es un portero con una gran trayectoria.
203.360;206.040;MIGUEL;¿Tú apostarías por él? ¿Tú abogabas por Metir?
206.160;210.000;MIGUEL;En función del club, creo que sí. ¿Qué club, así, voté pronto dirías?
210.720;212.520;NAHUEL;Bueno, el Betis necesita portero.
213.800;216.760;ALEX;El Betis, al final, se va a traer el Manchester United.
216.880;220.040;NAHUEL;No, es una relación… El United Bay va a quedar por delante.
220.160;223.040;NAHUEL;Hemos terminado el asiento… Habla castellano, además.
223.160;225.360;ALEX;Sí, claro. Si jugó con Alberto Chogo.
225.480;229.000;MIGUEL;Y es amigo de Alberto Chogo, lo cual debería ser, creo, una virtud.
229.120;231.960;ALEX;Sí. Bueno, tiene amigos que son complicados,
232.080;233.640;ALEX;como tú, Miguel, por ejemplo.
234.240;235.240;ALEX;Soy complicado.
235.360;236.760;ALEX;¡Jajaja!
236.880;239.080;ALEX;Perdón, perdón, es que me han puesto a vos.
239.200;241.200;MIGUEL;No, no. Soy complicado,
241.320;244.320;MIGUEL;pero no te preocupes, te puedo ahorrar las complicaciones.
244.440;247.800;MIGUEL;En todo caso, hemos elegido a Kepa Arrizabalaga,
247.920;251.040;MIGUEL;otro portero que movió mucho dinero, el más caro de la historia.
251.160;253.120;MIGUEL;Sí, claro. Evidentemente,
253.240;256.280;MIGUEL;está en otro momento completamente diferente de la carrera.
256.400;258.960;MIGUEL;Ahora su valor en transfer market es de 10 millones.
259.080;263.440;MIGUEL;Ha perdido un millón de valor en esta última actualización, el 9%.
263.560;265.800;MIGUEL;Parece que lo tiene hecho con el Arsenal.
265.920;268.840;ALEX;Sí, porque por lo visto hay una cláusula de cinco millones.
268.960;272.000;ALEX;El Arsenal necesitaba un portero para competir con David Raya.
272.120;275.320;ALEX;Parece que el elegido es él después de la temporada en el Bormoth,
275.440;277.200;ALEX;que ha sido un poco de asentar.
277.320;280.040;ALEX;De asentar de nuevo al Kepa, que es titular en un equipo,
280.160;282.960;MIGUEL;y en este caso el Bormoth. Yo esperaba un poquito esto.
283.080;285.840;MIGUEL;Ese pasito atrás… A mí me hacía interesante por esto.
285.880;288.400;ADRIAN;Está en la máxima élite,
288.520;290.800;ADRIAN;que no consigue cumplir con las expectativas.
290.920;293.200;ADRIAN;Dice, bueno, un momento de dar un pasito atrás.
293.320;296.360;ADRIAN;Me asiento como dice Álex, en una portería donde sé que jugaré
296.480;299.720;ADRIAN;y ahora aspirar al siguiente reto, que será el suplente en el Arsenal.
299.840;301.600;MIGUEL;Es un reto que me sale un poquito…
301.720;305.080;ADRIAN;Me gustaría verlo titular en otra portería y me gustaría que regresase.
305.200;306.560;ALEX;Cuidado. Cuidado.
307.320;308.320;ALEX;Cuidado.
309.640;310.840;ALEX;Cuidado no acabe.
311.080;312.880;ALEX;De titular, digo. Kepa.
313.080;314.400;ALEX;Por delante David Raya.
314.800;316.520;MIGUEL;¿Qué pasa con David Raya? No.
316.640;318.040;ALEX;No, hombre. No, no.
318.160;320.040;ALEX;Este cuidado. Este cuidado.
