start_sec;end_sec;speaker;text
0.000;10.240;SPEAKER_02;¿Qué pasa, pizarritas? Vamos allá con un nuevo Q&A bastante completito donde vamos a hablar de la Liga, de fútbol internacional, de la selección y de muchas cosas más.
10.240;13.680;SPEAKER_02;Con Adrián Blanco, Álex de Llano y Nahuel Miranda. ¿Qué tal chicos, cómo estáis?
13.680;16.320;SPEAKER_02;¿Qué tal chicos, muy buenas? ¿Cómo estamos?
16.320;18.720;SPEAKER_03;¿Qué tal, buenas tardes? Bueno, buenas tardes, buenos días.
18.720;19.720;SPEAKER_02;Sí, bueno, es que...
19.720;21.720;SPEAKER_02;Estamos hablando por la tarde y concretamente del lunes.
21.720;25.840;SPEAKER_02;Exactamente, o sea, fíjate qué día menos viernes que el lunes.
26.080;35.840;SPEAKER_02;Pero, pero, bueno, yo ahora mismo, en viernes, estoy en una bonita isla española llamada Mallorca, solucionando...
35.840;46.040;SPEAKER_02;Me han llamado para solucionar un lío que tienen por allí, por la isla, no quiero dar más detalles, pero bueno, voy como mediador de conflicto, ¿vale?
46.040;49.080;SPEAKER_01;Hermano mayor, vas de hermano mayor.
49.080;51.760;SPEAKER_02;Ostras, molaría, molaría mucho.
51.800;56.520;SPEAKER_02;Creo que va algo para hermano mayor, o sea, un poquito Pedro Aguado.
56.520;59.320;SPEAKER_00;Dani Rodríguez, eh, pegando portazos.
59.320;60.680;SPEAKER_00;¡Que quiero jugar!
60.680;63.640;SPEAKER_01;Te voy a decir una cosa, Dani, te voy a decir una cosa, escúchame.
64.960;65.920;SPEAKER_03;Bueno, a ver...
65.920;67.040;SPEAKER_03;Dani, te voy a recoger basura.
67.040;69.840;SPEAKER_03;Va jugando con la alegría de mis hijos.
69.840;79.200;SPEAKER_02;Dejadme que antes de empezar con las primeras preguntas, recuerde a nuestros pizarritas que estamos organizando un sorteo con los amigos de Gambea, ¿eh?
79.200;80.440;SPEAKER_02;¿Aquí, dónde está? Aquí, aquí.
80.440;81.720;SPEAKER_02;¿Dónde? A ver...
81.800;84.200;SPEAKER_02;También el escudo, pero el escudo de la marca.
84.200;88.120;SPEAKER_02;Aquí somos románticos y mercenarios al mismo tiempo.
88.120;98.680;SPEAKER_02;Estamos organizando un concurso en el que regalamos una equipación personalizada by Gambea a vuestro equipo, vuestro grupo de amigos, o para ti.
98.680;100.200;SPEAKER_02;Defeías soltero.
100.200;105.840;SPEAKER_02;Imagínate que no tienes colegas, pero quieres una equipación repetida, 13 buques.
106.720;108.960;SPEAKER_00;El otro día se me ocurrió una idea.
108.960;118.480;SPEAKER_00;Para... Hay muchas familias que en Nochebuena, en lugar de hacer una Nochebuena tal, hacen juegos, ¿no?
118.480;119.160;SPEAKER_00;Sí.
119.160;120.480;SPEAKER_00;Pues que tengan la equipación.
120.480;122.480;SPEAKER_00;La equipación de la abuela, ¿eh?
122.960;124.560;SPEAKER_00;Claro, la equipación de la abuela...
124.560;125.080;SPEAKER_01;No, no.
125.080;126.000;SPEAKER_01;Es esta chula.
126.000;127.040;SPEAKER_01;Con el 99.
127.040;131.960;SPEAKER_02;Para lo que vosotros queráis, estamos buscando la respuesta más original.
131.960;132.520;SPEAKER_02;El 79.
133.240;136.360;SPEAKER_00;El abuelo que no... Abuelo, el 88, no.
136.360;137.280;SPEAKER_00;Que no.
137.280;138.320;SPEAKER_00;Estamos...
138.320;139.760;SPEAKER_02;Es un mismo angeliño, ¿eh?
139.760;145.480;SPEAKER_02;Estamos buscando la respuesta más original con el nombre del equipo, con la justificación.
145.480;152.760;SPEAKER_02;En nuestro Instagram, somospizzarritas, y en Instagram de Gambea, GambeaSop, lo estamos mostrando ahora mismo en pantalla.
152.760;161.440;SPEAKER_02;Y para motivaros, enseñan a Uel Miranda la camiseta del mejor equipo madrileño en general.
161.480;162.680;SPEAKER_03;Las cobayas, ¿vale?
162.680;166.200;SPEAKER_03;Son unas cobayas muy ganadoras y muy habilidosas a esto del balonpied.
166.200;166.720;SPEAKER_03;Sí.
166.720;168.080;SPEAKER_03;Que son el panatináutico.
168.080;168.680;SPEAKER_03;¡Bah!
168.680;169.560;SPEAKER_03;¡Qué guapa, eh!
169.560;170.240;SPEAKER_03;La primera equipación.
170.240;171.400;SPEAKER_03;¡Espectacular!
171.400;173.240;SPEAKER_03;Hemos hecho primera y segunda.
173.240;174.000;SPEAKER_03;Sí.
174.720;176.480;SPEAKER_03;Bueno, muy chula, muy chula.
176.480;177.280;SPEAKER_03;Muy chulas.
177.280;181.240;SPEAKER_02;Así que, pizarritas, si queréis tener una, no del panati.
181.240;184.640;SPEAKER_02;Aunque me parece que hay planes de expansión de marca al respecto.
184.640;186.840;SPEAKER_03;Bueno, vaya pedido hicimos.
186.840;187.520;SPEAKER_03;El primer pedido.
187.520;188.600;SPEAKER_03;Por eso digo...
188.600;189.480;SPEAKER_03;Unas cuantas.
189.520;195.400;SPEAKER_02;Si queréis un premio top, pues ya sabéis, en nuestro Instagram tenéis el concurso.
195.400;199.400;SPEAKER_02;En este Q&A tenéis grandes preguntas y ya veremos si grandes respuestas.
199.400;202.040;SPEAKER_02;Esto tampoco lo podemos asegurar.
202.040;203.400;SPEAKER_03;La primera gran cuestión.
203.400;204.880;SPEAKER_03;¿Por qué se habla, Miguel?
204.880;205.320;SPEAKER_03;¿Qué?
205.320;211.720;SPEAKER_03;Desde que Gambea y panatináutico se han juntado sus caminos, dices bien el nombre, eh.
211.720;212.680;SPEAKER_03;Ya te he dicho.
212.680;213.320;SPEAKER_03;Ya te he dicho.
213.320;214.400;SPEAKER_03;Anda, anda.
214.400;215.160;SPEAKER_03;Mercenario.
215.160;216.480;SPEAKER_03;La plata baila el mono, eh.
216.480;217.640;SPEAKER_03;Exactamente.
217.640;218.840;SPEAKER_03;¡Hombre, hombre!
218.880;220.240;SPEAKER_02;El monito Lo Celso, eh.
220.240;221.560;SPEAKER_02;El monito Lo Celso.
221.560;225.120;SPEAKER_02;Como le recordó un buen amigo hace poquito.
225.120;226.880;SPEAKER_02;Un buen amigo de Lo Celso, no mío.
226.880;227.760;SPEAKER_02;Valentín Gómez.
227.760;229.640;SPEAKER_02;No sé si fue Valentín Gómez o quién fue.
229.640;230.640;SPEAKER_02;Entonces, he tirado por...
230.640;232.480;SPEAKER_02;La foto era Valentín.
232.480;233.640;SPEAKER_02;Muy bien, muy bien.
233.640;236.320;SPEAKER_02;Mas Sopenga pregunta.
236.320;237.240;SPEAKER_02;Eh...
237.240;238.440;SPEAKER_02;Bueno, me he inventado el nombre.
238.440;238.720;SPEAKER_02;Max...
238.720;240.400;SPEAKER_02;¿Sopenga o Sopenya?
240.400;241.720;SPEAKER_02;No, no, que me lo he inventado directamente.
241.720;244.080;SPEAKER_02;Max Soprendrei.
244.080;245.200;SPEAKER_02;Son preguntas del YouTube.
245.200;247.120;SPEAKER_02;Vale, y aquí la gente tiene extraños.
247.120;248.040;SPEAKER_02;Porque YouTube es...
248.040;249.040;SPEAKER_02;Es un lugar...
249.040;249.880;SPEAKER_02;Parece un traniano, ¿no?
249.880;252.120;SPEAKER_02;Es un lugar que solo tiene un canal de luz,
252.120;253.640;SPEAKER_02;el resto es oscuridad.
254.240;254.760;SPEAKER_02;Pregunta.
254.760;257.160;SPEAKER_02;Yo creo que es Max Sopenya-Rey.
258.160;258.800;SPEAKER_03;O Sopena.
258.800;259.600;SPEAKER_03;Ah, puede ser.
259.600;260.440;SPEAKER_03;Es Sopenya.
260.440;261.200;SPEAKER_03;Puede ser.
261.200;262.480;SPEAKER_02;Bueno, ¿qué es su pregunta?
262.480;263.400;SPEAKER_02;¿Qué es lo importante?
263.400;266.120;SPEAKER_02;Viendo el bajísimo nivel de Dani Olmo,
266.120;269.720;SPEAKER_02;esta temporada acabará Fermín siendo titular en el Barça de Flick.
269.720;273.000;SPEAKER_02;Peligra su importancia en clave selección.
273.000;275.680;SPEAKER_02;Es uno de los temas de los que venimos hablando, Adri.
275.680;277.080;SPEAKER_02;Yo sigo pensando
277.120;279.960;SPEAKER_02;que el techo del Barça es con Dani Olmo.
279.960;283.520;SPEAKER_02;No ya por Dani Olmo, sino por cómo mejora el resto.
283.520;288.280;SPEAKER_02;Pero es verdad que ahora mismo no tengo ningún tipo de duda.
288.280;288.840;SPEAKER_02;Vamos a pensar.
288.840;290.000;SPEAKER_02;Clásico, por ejemplo, ¿no?
290.000;292.480;SPEAKER_02;Que es uno de los siguientes grandes partidos del Fútbol Club Barcelona.
292.480;294.360;SPEAKER_02;Yo pongo a Fermín antes que a Dani Olmo.
294.360;296.440;SPEAKER_02;Pero además, es que ni me lo pienso.
296.440;297.440;SPEAKER_01;De calle.
297.440;299.080;SPEAKER_01;Sí, a corto plazo.
299.080;301.560;SPEAKER_01;Si Dani Olmo no revuenta el vuelo
301.560;304.200;SPEAKER_01;y Fermín se recupera bien de su lesión,
304.200;306.240;SPEAKER_01;creo que Fermín tiene papeletas de ser titular
306.240;307.840;SPEAKER_01;en la media punta.
307.840;310.720;SPEAKER_01;No creo que peligre el puesto de Dani Olmo en la selección.
310.720;314.320;SPEAKER_01;Tendría que alargar esta mala dinámica
314.320;316.520;SPEAKER_01;durante todos los meses de competición
316.520;319.600;SPEAKER_01;y que Luis de la Fuente lo vea muy mal mentalmente.
319.600;320.400;SPEAKER_02;Que ojo, Adri.
320.400;322.640;SPEAKER_02;Realmente, supuesto...
322.640;324.480;SPEAKER_02;Claro, su puesto en la convocatoria
324.480;327.360;SPEAKER_02;yo creo que no peligra de ninguna de las maneras.
327.360;330.240;SPEAKER_02;Pero ese puesto que se había ganado en la Eurocopa
