start_sec;end_sec;speaker;text
0.000;6.800;MIGUEL;Hoy vamos a hablar de cláusulas en el mercado de fichajes de futbolistas que hemos descubierto en el Mundial de Clubes
6.800;11.600;MIGUEL;y de cómo nos encajarían ciertos jugadores en ciertos equipos.
20.200;29.000;MIGUEL;¿Qué pasa, pizarritas? Ya estamos aquí, un viernes más con el Q&A fresquito, picadito, variadito y molón
29.000;33.600;MIGUEL;de todos los viernes, aunque en el momento en el que digo molón creo que deja de molar.
33.600;36.200;MIGUEL;Adrián Blanco, Álex de Llano, Nahuel Miranda, ¿cómo estáis?
36.200;37.600;MIGUEL;¿Qué tal chicos? Muy buenas.
37.600;39.600;MIGUEL;¿Qué pasa, chavales?
39.600;42.600;NAHUEL;Hola, Lita, vecinito, eh. Te ha quedado un poco...
42.600;45.000;NAHUEL;¿Qué dice el vinito, eh? El cuanejito, eh.
45.000;50.600;MIGUEL;La metamorfosis en padre creo que es absolutamente imparable.
50.600;54.200;MIGUEL;Lo único que me separa de ser un padre tradicional creo que es este botón, ¿vale?
54.400;59.200;MIGUEL;Así que me lo voy a dejar abierto y aunque sea parezca un padre divorciado,
59.200;63.000;MIGUEL;que ya, bueno, no deja de ser algo quizás más apropiado.
63.000;68.600;MIGUEL;Chicos, vamos ya al turrón que tenemos preguntas muy pero que muy interesantes,
68.600;71.200;MIGUEL;apropiado por un poquito...
71.200;73.000;MIGUEL;¿Hay algo que quieras contaros, Miguel?
73.000;80.400;MIGUEL;No, pero sé que hay un 2%, al menos un 2% de féminas
80.600;85.600;MIGUEL;y tú sabes que a los rock and roll stars siempre les conviene dar la sensación de ser accesibles, ¿sabes?
85.600;87.600;MIGUEL;O sea, de... Dios santo...
87.600;89.600;ADRIAN;¡Qué inicio!
89.600;91.600;MIGUEL;¡Qué inicio!
91.600;93.600;MIGUEL;No me preguntéis, es que ¿por qué me preguntáis?
93.600;95.600;MIGUEL;No me preguntéis...
95.600;97.600;ALEX;La culpa es tuya, Nahuel.
97.600;99.600;MIGUEL;Ha sido a buscar oro y...
99.600;101.600;NAHUEL;Nahuel Miranda introduciendo...
101.600;103.600;NAHUEL;Nahuel Miranda introduciendo...
103.600;105.600;MIGUEL;Bueno, ¿aú pa' Atleti?
105.600;108.600;MIGUEL;Atleti Co de Madrid, no Atleti Club.
108.800;110.800;MIGUEL;Al menos no sale la T.
110.800;112.800;MIGUEL;Te van a sacar el clipecín...
112.800;114.800;MIGUEL;Joder, es el putísimo Nick.
114.800;117.800;MIGUEL;Para próximas ediciones del Mundial de Clubes,
117.800;121.800;MIGUEL;¿Aumentaríais el número de cupos por país?
121.800;123.800;MIGUEL;Es decir, no habla de las confederaciones,
123.800;128.800;MIGUEL;no habla del número en general para el Mundial de Clubes de equipos,
128.800;133.800;MIGUEL;sino el número de cupos que fija 2 máximo por país,
134.000;138.000;MIGUEL;salvo que seas campeón continental,
138.000;140.000;MIGUEL;como es en el caso de los brasileños,
140.000;143.000;MIGUEL;que han ido 4, precisamente por eso,
143.000;146.000;MIGUEL;porque se han alternado ganando la Copa Libertadores.
146.000;148.000;NAHUEL;Absolutamente no.
148.000;150.000;NAHUEL;¿Cómo es esto? ¿Por qué?
150.000;152.000;NAHUEL;La explicación es muy sencilla.
152.000;154.000;NAHUEL;Cuando se habla de ampliar cupos,
154.000;156.000;NAHUEL;nadie recorta cupos.
156.000;158.000;NAHUEL;No, no, no, no, no, no.
158.000;160.000;NAHUEL;¿No lo has entendido?
160.000;162.000;NAHUEL;Sí, he entendido la pregunta.
162.200;166.200;NAHUEL;Pero yo lo que digo es que cuando se tienen estas conversaciones,
166.200;168.200;NAHUEL;de verdad, nadie va a recortar cupos.
168.200;170.200;NAHUEL;Nadie va a decir...
170.200;172.200;NAHUEL;El portugués no te va a decir...
172.200;174.200;NAHUEL;Llévate uno de los cupos.
174.200;178.200;MIGUEL;Lo que acabaría pasando es que tendríamos un Mundial de Clubes de 48.
178.200;180.200;MIGUEL;Por eso, rotundamente, no.
180.200;183.200;MIGUEL;Claro, que igual se ampliaría a 4 como máximo,
183.200;186.200;MIGUEL;pero que lo que haría la FIFA sería...
186.200;188.200;MIGUEL;Bueno, pero entonces no 12 europeos,
188.200;191.200;MIGUEL;sino 18 y se aumentarían todos.
191.400;194.400;MIGUEL;Yo estoy de acuerdo en que este Mundial de Clubes,
194.400;196.400;MIGUEL;más equipos no.
196.400;199.400;MIGUEL;Creo que es una cifra perfecta,
199.400;201.400;MIGUEL;creo que es una cifra buena.
201.400;204.400;MIGUEL;Es más, sería más proclive a recortar,
204.400;206.400;MIGUEL;a ampliar,
206.400;208.400;MIGUEL;también por un tema de calendario,
208.400;210.400;MIGUEL;descansos, etc.
210.400;212.400;MIGUEL;Pero sí que a mí me parecería interesante,
212.400;215.400;MIGUEL;Adri, ampliar el tema de los cupos
215.400;217.400;MIGUEL;sin tocar el número de equipos,
217.400;220.400;MIGUEL;porque no es cuestión de convertir esto
220.600;222.600;MIGUEL;en una Champions,
222.600;225.600;MIGUEL;pero al mismo tiempo que entre el RB Salzburg,
225.600;228.600;MIGUEL;que creo que era el equipo número 23, 24
