start_sec;end_sec;speaker;text
0.000;7.200;MIGUEL;2-0 ante Georgia, 4-0 ante Bulgaria. De nuevo, un parón de selecciones muy positivo para
7.200;11.600;MIGUEL;el fútbol español, para la selección de Luis de la Fuente. Quiero que le pongáis
11.600;16.480;MIGUEL;una nota, teniendo en cuenta también la exigencia de los rivales, el nivel de juego, las noticias
16.480;20.840;MIGUEL;positivas que han dejado los futbolistas, antes de que entremos a comentar y analizar
20.840;24.120;MIGUEL;lo mejor del parón y también lo peor que alguna cosita hay.
24.120;25.120;NAHUEL;Un 9.
25.120;26.120;NAHUEL;Un 10.
27.120;28.120;NAHUEL;Sí, un 10.
28.120;29.120;NAHUEL;Sí.
29.120;36.440;NAHUEL;Pero quiero decir, sacar un 10 en el típico test que te hace el profesor para saber un
36.440;37.440;NAHUEL;poquito dónde estás, ¿no?
37.440;38.440;NAHUEL;Cuando te metes en la clase de idiomas…
38.440;39.440;NAHUEL;Pero hay que sacarlo.
39.440;40.440;NAHUEL;Claro, claro.
40.440;43.440;NAHUEL;¿Cómo hacer la plática del carné teórico?
43.440;47.480;NAHUEL;Esta españa para estudiar el C2.
47.480;48.480;NAHUEL;Vale.
48.480;49.480;NAHUEL;Pero quiero decir…
49.480;50.960;MIGUEL;Yo le pongo un 9.
50.960;51.960;MIGUEL;Yo le pongo un 9.
51.960;54.440;MIGUEL;Creo, eso sí, que los resultados han sido más cortos…
54.440;55.440;MIGUEL;Claro.
55.440;56.440;MIGUEL;Sí, claro.
56.440;61.000;MIGUEL;Ahí hay un puntito negativo que luego vamos a comentar, por eso le pongo el 9.
61.000;65.080;MIGUEL;En todo caso, tenemos mucho de lo que hablar en lo más destacado.
65.080;72.280;MIGUEL;El primer punto, Nahuel, es que España juega de memoria, pero jugando de memoria estamos
72.280;77.600;MIGUEL;viendo cómo la competitividad interna está siendo muy positiva en este momento del ciclo.
77.600;82.280;MIGUEL;Es decir, España ya ganó la Eurocopa, llegó a la final de la Nations, tenemos una convocatoria
83.280;85.760;MIGUEL;donde de 26-21 son fijos.
85.760;91.680;MIGUEL;En el once titular hay una duda y puede haber también otra.
91.680;94.840;MIGUEL;El tercer centro campista, el segundo central…
94.840;96.720;MIGUEL;Pero más o menos tenemos claro cuál va a ser.
96.720;102.280;MIGUEL;Y aún así, la sensación es que los futbolistas están jugando y compitiendo como si no hubiesen
102.280;104.640;MIGUEL;ganado y como si no hubiese nada seguro.
104.640;106.680;MIGUEL;Y eso me parece la mejor de las noticias.
106.680;109.360;NAHUEL;Sí, no tiene que ver con la situación de la selección, sino con la situación de los
109.360;114.520;NAHUEL;propios futbolistas que quieren estar teniendo protagonismo en este momento tan dulce de
114.520;115.520;NAHUEL;la selección.
115.520;119.200;NAHUEL;Cuando la selección gana todos quieren estar y creo que eso el equipo lo transmite.
119.200;123.360;NAHUEL;A pesar de tener la sensación de que España estaba clasificada hace rato, que no tiene
123.360;125.080;NAHUEL;ningún rival muy claro en esta…
125.080;127.920;MIGUEL;Bueno, parecía que estábamos clasificados antes de empezar la clasificación.
127.920;128.920;MIGUEL;Bueno, es que…
128.920;129.920;NAHUEL;Lo dijo Luis de la Fuente.
129.920;130.920;NAHUEL;Sí.
130.920;133.040;NAHUEL;Luego ves cómo va las cosas después de cuatro jornadas y lo entiendes.
133.040;136.360;NAHUEL;Porque España no ha encajado, porque tiene facilidad para marcar, porque…
136.360;138.920;MIGUEL;¿Cuántos partidos son sin perder ya?
138.960;141.680;NAHUEL;Son 29, creo que es el récord de Vicente del Bosque.
141.680;147.720;NAHUEL;No sé, yo creo que la situación de la selección no te hace apretar.
147.720;151.320;NAHUEL;Te hace apretar que si tú eres Grimaldo y juegas el partido contra la Bulgaria y dices
151.320;154.680;NAHUEL;oye, yo tengo que apretar para dar a la cómplica las cosas a Cucurella y creo que esto pasa
154.680;156.440;NAHUEL;en cada posición del terreno de juego.
156.440;161.320;MIGUEL;Creo que también tiene mucho que ver con lo que no vemos y que es la gestión de grupo.
161.320;165.960;MIGUEL;O sea, da la sensación de que los futbolistas, aparte de querer estar en el Mundial, que
166.200;171.160;MIGUEL;evidentemente es lo más grande para un futbolista y no lo decimos nosotros, lo dicen ellos,
171.160;173.320;MIGUEL;disfrutan en los parones.
173.320;177.960;MIGUEL;Antes podía ser algo más rutinario.
177.960;180.880;MIGUEL;Hay momentos de la temporada, creo que el de marzo que a veces también se hace un poquito
