start_sec;end_sec;speaker;text
0.000;6.320;SPEAKER_00;Hoy, pizarritas, tenemos uno de esos drafts que sacan lo peor de nosotros mismos.
6.320;13.840;SPEAKER_00;Y además en el de hoy no se va a poder repetir ni club, ni país, ni año de nacimiento.
13.840;18.800;SPEAKER_00;Con estos tres condicionantes tenemos que montar el mejor equipo del mundo.
18.800;22.760;SPEAKER_00;Adrián Blanco, Álex de Llanó, Nahuel Miranda, ¿estáis preparados?
22.760;25.400;SPEAKER_03;Papel y bolí, mi gente. Papel y bolí.
25.400;27.120;SPEAKER_01;We are so ready.
28.000;29.200;SPEAKER_01;Muy turra este draft.
29.200;31.200;SPEAKER_01;Es muy difícil este draft.
31.200;35.760;SPEAKER_01;Aparte, me jode porque he tenido yo la idea de, oye, podríamos hacer un draft.
35.760;38.000;SPEAKER_02;Pero la verdad que no lo quería tirar por aquí.
38.000;40.720;SPEAKER_02;Now, now, now, now, now.
43.680;45.280;SPEAKER_01;Lo vas a disfrutar, Nahuel.
45.280;50.880;SPEAKER_01;Mi idea, claro, es que yo te dije, Miguel, oye, que tras el marco ha actualizado los valores del mercado de la liga.
50.880;56.560;SPEAKER_00;Claro, pues ese es otro formatín, el de hacer un equipo Champions con 100 millones.
56.640;63.120;SPEAKER_00;Eso lo repetiremos, pero estamos en parón de selecciones y hemos dicho, venga, vamos a montar el mejor equipo.
63.120;64.480;SPEAKER_00;Bueno, hemos dicho no, has dicho tú, Miguel.
64.480;65.200;SPEAKER_01;Lo he dicho yo.
65.200;67.200;SPEAKER_01;Yo esto no apoyo, ¿vale?
67.200;68.320;SPEAKER_01;Lo he dicho yo.
68.320;69.440;SPEAKER_00;Quiero que quede claro.
69.440;73.680;SPEAKER_00;Lo he dicho yo, pero si luego te encanta y, ¡uy, mira qué equipo he hecho!
73.680;76.640;SPEAKER_00;¡Uy, qué fichaje! ¡Uy, es mi mejor conjunto!
76.640;77.840;SPEAKER_00;A ver, a ver, a ver.
77.840;79.360;SPEAKER_00;A ver, a ver, a ver.
79.360;80.880;SPEAKER_00;Me lo tomo de conga, me lo tomo de conga.
80.880;82.160;SPEAKER_00;Me lo tomo de conga.
82.160;83.680;SPEAKER_00;Me lo tomo de conga y luego me voy a olvidar.
83.760;90.000;SPEAKER_00;Es que es el típico, Nauel, es el típico que dice no voy a salir y a las 3 de la mañana llega una cogorza encima.
90.000;91.760;SPEAKER_00;Ah, Naúl, porfa, coherencia.
91.760;92.560;SPEAKER_00;Me ha pasado nunca eso.
92.560;93.360;SPEAKER_01;¡Mis cojones!
93.360;94.240;SPEAKER_00;Vaya, pues sí.
94.240;98.400;SPEAKER_01;Que os pase la manita por la cara constantemente en el grab.
98.400;101.200;SPEAKER_01;Relato, relato, relato.
101.200;101.920;SPEAKER_01;Bueno, a ver.
101.920;103.040;SPEAKER_01;Balotelli, Balotelli.
103.040;103.760;SPEAKER_01;Importante.
103.760;104.960;SPEAKER_01;El cartero celebra cuando entrega una carta.
104.960;105.680;SPEAKER_01;Importante.
105.680;109.440;SPEAKER_00;Objetivo, montar el mejor equipo del mundo en 2025.
109.440;112.800;SPEAKER_00;Valoramos al futbolista por su nivel en 2025.
112.880;114.880;SPEAKER_00;Oye, que alguno puede estar lesionado, no pasa nada.
114.880;117.120;SPEAKER_00;No nos referimos a estado de forma puntual.
117.120;122.240;SPEAKER_00;Pero claro, podemos meter a Cristiano o a Messi, pero son los Cristiano y Messi de 2025.
122.240;126.400;SPEAKER_00;Lo digo para luego evaluar y comparar.
126.400;131.840;SPEAKER_00;Insisto, no se puede repetir club, nacionalidad, nos quedamos con el país en el que juegue.
131.840;132.800;SPEAKER_00;Vale.
132.800;133.760;SPEAKER_00;Vale.
133.760;137.760;SPEAKER_00;Sin repetir año de nacimiento, sí edad, pero no año de nacimiento.
137.760;139.520;SPEAKER_00;Obviamente, no vamos a estar contando meses.
139.520;140.240;SPEAKER_00;La mía ecuatorial.
141.120;143.280;SPEAKER_00;Pero ya no puedes escoger Alberto Echeguo entonces.
143.280;147.760;SPEAKER_02;Claro, Alberto Echeguo de 2025, además que está más fuerte que el de...
147.760;149.760;SPEAKER_00;O en Sue, o en Sue.
149.760;152.000;SPEAKER_00;O sea que dale una vueltita.
152.000;152.560;SPEAKER_00;Lo tacho.
152.560;153.520;SPEAKER_00;Dale una vueltita.
153.520;154.000;SPEAKER_00;Now.
154.000;156.480;SPEAKER_01;Paul Farmer, San Cristóbal y Nieves.
156.480;164.640;SPEAKER_00;Y luego, para buscar un poquito también de diferenciación, antes permitíamos solo el 4231 barra 442
164.640;168.720;SPEAKER_00;con las múltiples trampas que siempre intentan los sospechosos habituales.
169.280;170.000;SPEAKER_03;Ales Deano.
170.000;178.960;SPEAKER_00;Abrimos el abanico con 4231, 433, 442 y 352.
178.960;183.440;SPEAKER_00;Pero ojo, escrupulosos en las posiciones.
183.440;188.400;SPEAKER_00;No quiero de extremo por una banda, a la Minyamal y por la otra a Cuarobasgelia.
188.400;189.200;SPEAKER_00;Vale.
189.200;189.520;SPEAKER_00;No.
189.520;190.320;SPEAKER_00;Bueno.
190.320;190.560;SPEAKER_03;No.
190.560;191.360;SPEAKER_03;¿Por qué no?
191.360;192.400;SPEAKER_03;¿Por qué no?
192.400;192.720;SPEAKER_00;No.
192.720;194.720;SPEAKER_03;Sí, Cuarobasgelia ha jugado a la izquierda.
194.720;196.240;SPEAKER_03;Ese no es un buen ejemplo.
196.240;197.600;SPEAKER_03;Digo de carrileros.
197.600;198.720;SPEAKER_03;Digo de carrileros.
198.720;200.160;SPEAKER_01;No, en un 433 sí.
200.160;201.280;SPEAKER_01;Digo no, es que has dicho extremos.
201.280;202.320;SPEAKER_01;Perdón, perdón.
202.320;203.280;SPEAKER_01;Las bandas, perdón.
203.280;204.880;SPEAKER_01;Perdon, perdón.
204.880;206.080;SPEAKER_02;Ya empezamos con las trampas.
206.080;207.680;SPEAKER_00;Ya empezamos con las trampas.
207.680;209.120;SPEAKER_01;No engañéis a mi padre.
209.120;211.360;SPEAKER_00;¿Y sabéis qué otra cosa no quiero ver hoy?
212.320;212.880;SPEAKER_00;A ver.
213.440;214.560;SPEAKER_00;¿Me toca a mí?
215.840;217.120;SPEAKER_02;¿Me toca a mí?
217.120;217.840;SPEAKER_02;¿Me toca a un...?
217.840;222.160;SPEAKER_00;Os aprendéis el orden que vamos a sortear ahora.
222.160;222.800;SPEAKER_02;Yo me lío.
222.800;224.000;SPEAKER_02;Os lo aprendéis.
224.000;225.360;SPEAKER_02;Yo me lío porque hay jugadores...
225.440;227.360;SPEAKER_00;¿Sabes lo que dicen a los niños de...
227.360;229.600;SPEAKER_00;No tienes que pensar en quién va primero.
229.600;231.760;SPEAKER_00;Céntrate detrás de quién vas.
231.760;232.400;SPEAKER_00;Ya está.
232.400;233.840;SPEAKER_00;Le coges del bavi, ¿vale?
233.840;236.000;SPEAKER_00;Si te toca detrás de Adri, le coges del bavi a Adri
236.000;238.720;SPEAKER_00;y vas detrás de él como si fuese Marcaja el hombre.
238.720;239.600;SPEAKER_03;Marcaja en individuo.
239.600;242.400;SPEAKER_00;Como si fuese Battismendy y Adri fuese Pedri.
242.400;243.120;SPEAKER_00;¿Vale?
243.120;244.400;SPEAKER_00;Vale, vale.
244.400;246.080;SPEAKER_00;Sorteamos el orden.
246.080;250.400;SPEAKER_00;Ya sabéis, juego popularmente conocido, al menos en Madrid, como chinos.
251.600;253.360;SPEAKER_00;Sacar la manita del 1 al 5.
253.440;257.840;SPEAKER_00;Empiezo contando a partir de mí y a ver a quién le toca primero.
257.840;260.400;SPEAKER_00;Una, dos, tres.
261.840;263.040;SPEAKER_00;Ocho, nueve.
263.040;264.240;SPEAKER_00;Yo no tengo, ¿eh?
264.240;267.200;SPEAKER_00;Uno yo, dos Adri, tres Ales, cuatro...
267.200;268.640;SPEAKER_01;Son diez, son diez.
268.640;270.240;SPEAKER_01;Te has puesto cuatro a Adri y cinco, yo uno.
270.240;271.280;SPEAKER_00;Ah, vale, perdón.
271.280;271.760;SPEAKER_00;Vale.
271.760;273.840;SPEAKER_01;Yo primero, segundo Adri.
273.840;275.680;SPEAKER_01;Día 37 pidiendo...
275.680;280.000;SPEAKER_00;Tres, cuatro, cinco, seis, siete, ocho, nueve, diez.
280.000;282.640;SPEAKER_00;Lo mejor es que me tocaba a mí primero con nueve
282.640;284.480;SPEAKER_00;pero le toca con diez Adrián Blanco.
284.480;286.480;SPEAKER_00;Entonces, Adri es el primero.
286.480;289.600;SPEAKER_00;Ales el segundo, Navuel es el tercero.
289.600;291.920;SPEAKER_00;Yo soy el último, por enésima ocasión.
291.920;295.040;SPEAKER_00;Tendré dos selecciones seguidas, igual que Adri.
295.040;297.760;SPEAKER_00;Nunca tendrán dos seguidas ni Ales ni Navuel.
297.760;299.280;SPEAKER_00;O sea, a mí nunca me tocan dos seguidas.
299.280;299.920;SPEAKER_00;Eso ya está...
299.920;301.120;SPEAKER_00;Te ha tocado el segundo.
301.120;303.520;SPEAKER_00;Te ha tocado el segundo, pedazo de ratón.
303.520;305.040;SPEAKER_00;Pedazo de ratón te ha tocado el segundo, ¿vale?
305.040;306.960;SPEAKER_00;Así que menos quejas.
306.960;308.720;SPEAKER_00;Arrancamos.
308.720;311.680;SPEAKER_00;Con Adrián Blanco Parera.
311.760;313.520;SPEAKER_00;¿Con quién te quedas?
313.520;316.480;SPEAKER_03;Año 2007.
316.480;317.920;SPEAKER_03;Fútbol Club Barcelona.
317.920;319.040;SPEAKER_03;Selección española.
319.040;320.320;SPEAKER_03;La Minya Mal.
320.320;321.440;SPEAKER_00;Vale.
321.440;323.200;SPEAKER_03;Vale.
323.200;324.240;SPEAKER_00;Fácil.
324.240;326.400;SPEAKER_00;Navuel Miranda.
326.400;327.280;SPEAKER_00;O sea, perdón.
327.280;327.840;SPEAKER_02;Ales de Llano.
327.840;330.640;SPEAKER_02;Joder, iba a decir coño, yo pensaba...
330.640;331.760;SPEAKER_02;¿Qué me tocaba a mí?
331.760;335.600;SPEAKER_00;Pero he jugado con la cabeza de Navuel Miranda.
335.600;339.680;SPEAKER_01;Hay veces que solo dejas el camino de la violencia.
339.680;341.360;SPEAKER_00;Nunca hay que tomar el camino de la violencia.
341.360;342.400;SPEAKER_00;Alex.
344.400;346.400;SPEAKER_00;Vale.
346.400;349.440;SPEAKER_02;Selección muy complicada la de Alex de Llano, la verdad.
349.440;350.160;SPEAKER_02;Sí.
350.160;353.040;SPEAKER_02;La mía está cogido, Alex.
353.040;354.400;SPEAKER_02;Ya lo sé, ya lo sé.
354.400;357.840;SPEAKER_02;Pues voy a tirar como si esto fuera al fantasy.
357.840;361.680;SPEAKER_02;Kylian Mbappé.
361.680;367.600;SPEAKER_02;Francés, Real Madrid, año 1998.
367.600;368.640;SPEAKER_02;Vale.
369.120;374.640;SPEAKER_02;Nació 22 días y 4 años después de mí.
374.640;375.600;SPEAKER_03;De delantero, ¿no?
375.600;377.040;SPEAKER_03;Obviamente.
377.040;378.240;SPEAKER_02;Es que voy a jugar.
378.240;378.880;SPEAKER_02;Voy a jugar.
378.880;379.360;SPEAKER_02;No, no, no.
379.360;380.560;SPEAKER_03;No, no, no, no.
380.560;383.200;SPEAKER_02;Juega delantero.
383.200;388.080;SPEAKER_02;Que mi estrategia es jugar, pero porque ya veréis.
388.080;391.600;SPEAKER_02;Navuel Miranda.
391.600;394.320;SPEAKER_01;Eh...
394.320;396.240;SPEAKER_01;Ostras, me estoy encontrando el año.
396.240;397.040;SPEAKER_01;Dame un segundo.
397.040;405.440;SPEAKER_01;Pero bueno, voy a ir con el buen amigo, nació en el año 92, extremo derecho del Liverpool, Mohamed Salah.
405.440;406.960;SPEAKER_00;Muy buena.
406.960;408.080;SPEAKER_00;Muy bien.
408.080;412.240;SPEAKER_00;Yo lo tenía entre mis primeras elecciones y no tenía uno de los primeros picks.
412.240;416.880;SPEAKER_00;Pero me voy a quedar con...
416.880;418.800;SPEAKER_00;A ver.
418.800;422.640;SPEAKER_00;Mi primer pick va a ser...
422.640;425.440;SPEAKER_??;Erling Brauhalan.
425.440;426.800;SPEAKER_00;Aaaaah.
426.800;428.800;SPEAKER_00;Año 2000, noruego.
428.800;432.880;SPEAKER_00;Lo cual me convence bastante.
432.880;437.840;SPEAKER_00;Y me voy a codar con...
440.880;442.880;SPEAKER_??;Con...
444.880;449.840;SPEAKER_00;Pedri, año 2002, como centrocampista.
450.560;452.560;SPEAKER_00;Español, obviamente.
452.560;457.200;SPEAKER_00;Por suerte y por la madre de la gracia de Dios.
457.200;459.200;SPEAKER_00;Te toca.
459.200;460.560;SPEAKER_??;Vale, he hecho Haaland.
460.560;461.760;SPEAKER_00;Navuel Miranda.
461.760;463.760;SPEAKER_00;Sí, sí.
463.760;465.760;SPEAKER_01;Eh...
465.760;467.760;SPEAKER_01;Voy a gastar...
467.760;471.760;SPEAKER_01;Portugal, año 2000, Vitor Machado Ferreira.
471.760;473.760;SPEAKER_01;Viteña.
473.760;474.800;SPEAKER_01;Viteña.
474.800;476.800;SPEAKER_00;¿Año has dicho, perdona?
476.800;478.800;SPEAKER_00;Viteña.
479.760;481.760;SPEAKER_00;2000.
481.760;483.760;SPEAKER_00;Vale.
483.760;485.760;SPEAKER_00;Álex de Llano.
485.760;487.760;SPEAKER_02;Vale.
487.760;491.760;SPEAKER_02;Perdonad, en el tema del sistema, habíamos dicho que el 4-3-1 valía.
491.760;493.760;SPEAKER_02;Sí.
493.760;495.760;SPEAKER_00;Pero el media punta tiene que ser media punta.
495.760;497.760;SPEAKER_00;Sí.
497.760;499.760;SPEAKER_00;Porque no va a valer.
499.760;501.760;SPEAKER_00;Es que le estoy viendo venir.
501.760;503.760;SPEAKER_00;Es el hombre, recordemos, de Fran.
505.760;507.760;SPEAKER_00;Y Valerón, eh.
508.720;510.720;SPEAKER_03;Y si graben también.
510.720;516.720;SPEAKER_00;Sabemos que el noveno pick de Álex de Llano, porque nunca es el undécimo ni siquiera,
516.720;520.720;SPEAKER_00;va a ser increíble.
520.720;524.720;SPEAKER_02;Pues mira, tengo muchas dudas aquí, pero...
526.720;528.720;SPEAKER_02;Pero voy a tomar esta decisión.
530.720;536.720;SPEAKER_02;Mi doble pivote va a estar formado en una de esas posiciones
