start_sec;end_sec;speaker;text
0.000;10.240;MIGUEL;¿Qué pasa, pizarritas? Vamos allá con un nuevo Q&A bastante completito donde vamos a hablar de la Liga, de fútbol internacional, de la selección y de muchas cosas más.
10.240;13.680;MIGUEL;Con Adrián Blanco, Álex de Llano y Nahuel Miranda. ¿Qué tal chicos, cómo estáis?
13.680;16.320;MIGUEL;¿Qué tal chicos, muy buenas? ¿Cómo estamos?
16.320;18.720;NAHUEL;¿Qué tal, buenas tardes? Bueno, buenas tardes, buenos días.
18.720;19.720;MIGUEL;Sí, bueno, es que...
19.720;21.720;MIGUEL;Estamos hablando por la tarde y concretamente del lunes.
21.720;25.840;MIGUEL;Exactamente, o sea, fíjate qué día menos viernes que el lunes.
26.080;35.840;MIGUEL;Pero, pero, bueno, yo ahora mismo, en viernes, estoy en una bonita isla española llamada Mallorca, solucionando...
35.840;46.040;MIGUEL;Me han llamado para solucionar un lío que tienen por allí, por la isla, no quiero dar más detalles, pero bueno, voy como mediador de conflicto, ¿vale?
46.040;49.080;ADRIAN;Hermano mayor, vas de hermano mayor.
49.080;51.760;MIGUEL;Ostras, molaría, molaría mucho.
51.800;56.520;MIGUEL;Creo que va algo para hermano mayor, o sea, un poquito Pedro Aguado.
56.520;59.320;ALEX;Dani Rodríguez, eh, pegando portazos.
59.320;60.680;ALEX;¡Que quiero jugar!
60.680;63.640;ADRIAN;Te voy a decir una cosa, Dani, te voy a decir una cosa, escúchame.
64.960;65.920;NAHUEL;Bueno, a ver...
65.920;67.040;NAHUEL;Dani, te voy a recoger basura.
67.040;69.840;NAHUEL;Va jugando con la alegría de mis hijos.
69.840;79.200;MIGUEL;Dejadme que antes de empezar con las primeras preguntas, recuerde a nuestros pizarritas que estamos organizando un sorteo con los amigos de Gambea, ¿eh?
79.200;80.440;MIGUEL;¿Aquí, dónde está? Aquí, aquí.
80.440;81.720;MIGUEL;¿Dónde? A ver...
81.800;84.200;MIGUEL;También el escudo, pero el escudo de la marca.
84.200;88.120;MIGUEL;Aquí somos románticos y mercenarios al mismo tiempo.
88.120;98.680;MIGUEL;Estamos organizando un concurso en el que regalamos una equipación personalizada by Gambea a vuestro equipo, vuestro grupo de amigos, o para ti.
98.680;100.200;MIGUEL;Defeías soltero.
100.200;105.840;MIGUEL;Imagínate que no tienes colegas, pero quieres una equipación repetida, 13 buques.
106.720;108.960;ALEX;El otro día se me ocurrió una idea.
108.960;118.480;ALEX;Para... Hay muchas familias que en Nochebuena, en lugar de hacer una Nochebuena tal, hacen juegos, ¿no?
118.480;119.160;ALEX;Sí.
119.160;120.480;ALEX;Pues que tengan la equipación.
120.480;122.480;ALEX;La equipación de la abuela, ¿eh?
122.960;124.560;ALEX;Claro, la equipación de la abuela...
124.560;125.080;ADRIAN;No, no.
125.080;126.000;ADRIAN;Es esta chula.
126.000;127.040;ADRIAN;Con el 99.
127.040;131.960;MIGUEL;Para lo que vosotros queráis, estamos buscando la respuesta más original.
131.960;132.520;MIGUEL;El 79.
133.240;136.360;ALEX;El abuelo que no... Abuelo, el 88, no.
136.360;137.280;ALEX;Que no.
137.280;138.320;ALEX;Estamos...
138.320;139.760;MIGUEL;Es un mismo angeliño, ¿eh?
139.760;145.480;MIGUEL;Estamos buscando la respuesta más original con el nombre del equipo, con la justificación.
145.480;152.760;MIGUEL;En nuestro Instagram, somospizzarritas, y en Instagram de Gambea, GambeaSop, lo estamos mostrando ahora mismo en pantalla.
152.760;161.440;MIGUEL;Y para motivaros, enseñan a Uel Miranda la camiseta del mejor equipo madrileño en general.
161.480;162.680;NAHUEL;Las cobayas, ¿vale?
162.680;166.200;NAHUEL;Son unas cobayas muy ganadoras y muy habilidosas a esto del balonpied.
166.200;166.720;NAHUEL;Sí.
166.720;168.080;NAHUEL;Que son el panatináutico.
168.080;168.680;NAHUEL;¡Bah!
168.680;169.560;NAHUEL;¡Qué guapa, eh!
169.560;170.240;NAHUEL;La primera equipación.
170.240;171.400;NAHUEL;¡Espectacular!
171.400;173.240;NAHUEL;Hemos hecho primera y segunda.
173.240;174.000;NAHUEL;Sí.
174.720;176.480;NAHUEL;Bueno, muy chula, muy chula.
176.480;177.280;NAHUEL;Muy chulas.
177.280;181.240;MIGUEL;Así que, pizarritas, si queréis tener una, no del panati.
181.240;184.640;MIGUEL;Aunque me parece que hay planes de expansión de marca al respecto.
184.640;186.840;NAHUEL;Bueno, vaya pedido hicimos.
186.840;187.520;NAHUEL;El primer pedido.
187.520;188.600;NAHUEL;Por eso digo...
188.600;189.480;NAHUEL;Unas cuantas.
189.520;195.400;MIGUEL;Si queréis un premio top, pues ya sabéis, en nuestro Instagram tenéis el concurso.
195.400;199.400;MIGUEL;En este Q&A tenéis grandes preguntas y ya veremos si grandes respuestas.
199.400;202.040;MIGUEL;Esto tampoco lo podemos asegurar.
202.040;203.400;NAHUEL;La primera gran cuestión.
203.400;204.880;NAHUEL;¿Por qué se habla, Miguel?
204.880;205.320;NAHUEL;¿Qué?
205.320;211.720;NAHUEL;Desde que Gambea y panatináutico se han juntado sus caminos, dices bien el nombre, eh.
211.720;212.680;NAHUEL;Ya te he dicho.
212.680;213.320;NAHUEL;Ya te he dicho.
213.320;214.400;NAHUEL;Anda, anda.
