start_sec;end_sec;speaker;text
0.000;5.120;MIGUEL;Hoy vamos a sacar las primeras conclusiones de lo que está siendo este primer Mundial de Clubes
5.120;10.840;MIGUEL;tras completarse una fase de grupos de la que además vamos a hacer nuestro 11 Ideal.
19.240;25.400;MIGUEL;Ha habido mucho debate sobre el Mundial de Clubes desde el inicio, creo que ahora que ya se ha
25.400;31.600;MIGUEL;disputado la mitad del torneo, que ya sabemos lo mejor y lo peor, que ya sabemos lo que más nos
31.600;37.120;MIGUEL;gusta y lo que menos, es un buen momento para hacer un poco de balance tanto de lo competitivo
37.120;43.160;MIGUEL;como de lo futbolístico que al menos nos está dejando esta primera edición. Para arrancar,
43.160;50.760;MIGUEL;una pregunta para saber un poquito cómo respiramos. Exactamente, nota al campeonato con todo,
51.120;56.040;MIGUEL;englobamos todo a este primer Mundial de Clubes con lo que estamos viendo en esta fase de grupos.
56.040;62.480;MIGUEL;Nahuel, ¿qué nota le pondrías? Yo le pongo un 7. Vale, Adri, yo bajo al 6. Tú, Alex de Llano. Yo
62.480;70.920;ALEX;estoy muy cerca del 9. 9. Voy a decir un 9. Ostras, un 9. Es que me está gustando mucho. Es muy proclivia
70.920;75.320;MIGUEL;que a Alex le guste mucho, seguramente es de los que más disfruta fútbol con mebol, fútbol también
75.320;80.680;MIGUEL;africano, asiático y evidentemente vivir un Mundial de Clubes, pues en ese sentido es una bacanal
80.680;87.200;MIGUEL;para nuestro Alejandro de Llano, ya que no se puede pegar otro tipo de bacanal. El fútbol nunca falla.
87.200;92.960;MIGUEL;El fútbol nunca te abandona. Esta es una lección para todos vosotros, pizarritas. Yo le pondría un
92.960;100.080;MIGUEL;7. Estoy de acuerdo con la nota que le ha puesto Nahuel. Me parece un torneo, una competición que
100.080;104.840;MIGUEL;está siendo notable, que tiene puntos fuertes, que tiene cosas que mejorar. Sí, yo creo que tienen
104.840;110.720;MIGUEL;bastantes que mejorar. Pero sabiendo los condicionantes y el contexto, me está gustando
110.720;116.600;ALEX;más incluso de lo que estaba. Pero mira, Miguel, un pequeño apunte. Fíjate que uno de los puntos que
116.600;120.480;ALEX;más se comentaba para tirar un poquito por tierra Mundial de Clubes era ¿Pero cómo va a jugar el
120.480;126.200;ALEX;Oakland City? Y el Oakland City ha hecho más puntos que muchos equipos que han conseguido su pase y
126.200;132.400;ALEX;de hecho, claro, tú vete a preguntar ahora. Claro, tú vete ahora a los alrededores de la Bombonera
132.400;137.920;MIGUEL;preguntar por Christian Grey. No va a ser el de las sombras. Sin embargo, alrededor del monumental
137.920;143.720;MIGUEL;igual se termina haciendo una estatua. Claro, tal cual. Se llama Christian Grey. O sea, acabo de caer.
145.120;154.200;MIGUEL;Es que es duro. La sombra del empate es alargada. A ver, vamos a ir primero dejando conclusiones
154.200;159.080;MIGUEL;del formato, estructura, sede, competición y luego pasamos al departivo y cerramos con el 11
159.080;165.360;MIGUEL;ideal que hemos diseñado de la fase de grupos. En cuanto al torneo, tú me decías, Nahuel,
165.360;170.360;MIGUEL;que te parece un buen torneo. Sí. El formato sobre todo porque transmite la sensación de
170.360;179.880;NAHUEL;Mundial de Verdad. Sí, es un mundial y con todo lo que ello engloba, con estampas que yo creo que
179.880;184.400;NAHUEL;no hemos en cualquier otro tipo de competición. Hemos visto aficionados de él, Huidad de Casablanca,
184.400;194.880;NAHUEL;Esperanza de Tunís, Times Square, Fluminense, Palmeiras. Pero bueno, fondos enteros de aficionados
194.880;201.000;NAHUEL;que han ido a apoyar a su club. Bueno, por supuesto Boca y River. Por cierto, me hizo
201.000;205.280;NAHUEL;mucha gracia saber realizado un vídeo de una aficionada de River que empieza a insultar como
205.280;208.960;NAHUEL;si no hubiera un mañana a Chalanoglu, mientras Chalanoglu está dando la típica vuelta de
208.960;214.200;NAHUEL;reconocimiento al campo antes de jugar el último partido de la fase de grupos. Es un
214.200;219.520;NAHUEL;mundial. Es un mundial y creo que eso está bien traído y que es replicable. Además,
219.520;224.480;NAHUEL;con el formato de 32 equipos, que me parece el mejor formato posible para un torneo así.
225.720;230.880;NAHUEL;Y creo que todo eso es muy positivo y hay que valorarlo. Yo estoy muy de acuerdo. 32 equipos,
230.880;238.080;MIGUEL;el formato ni más ni tampoco menos. Y es verdad que se consigue la sensación de Mundial. Quizás,
238.680;246.280;MIGUEL;con nuestro enfoque eurocentrista, lo vemos menos. Porque quizás los que menos folclore
246.280;251.400;MIGUEL;aportamos somos los europeos también por un tema de distancia. Ojo, que ahora vamos a hablar de la
251.400;257.200;MIGUEL;sede. Pero es verdad que vemos ese concepto de Mundial con equipos diferentes, con estilos
257.200;262.080;MIGUEL;diferentes. Ver a Melody Sundowns en ese sentido es un soplo de aire fresco. Ver, evidentemente,
262.080;267.080;MIGUEL;el colorido que aportan los sudamericanos. Yo sí que tengo, como dice el abuelo, esa sensación
267.080;270.600;ADRIAN;de Mundial. Me gusta lo que expone el abuelo. Y estoy de acuerdo también con él porque,
270.600;275.400;ADRIAN;además, los continentes están representados. Antes hablaba Alex del caso de Oakland. Así que me gusta.
275.400;280.080;ADRIAN;Me gusta. Y creo que el formato así está bien y no hay que tocar. ¿Os parece bien el reparto por
280.080;286.820;ALEX;continentes? A mí sí. Me parece lo más justo. Sí que es verdad que... A ver, claro, si te pones a
286.820;292.280;ALEX;decir cómo van no sé cuántos europeos y tan pocos de tan otro. Pero, bueno, al final es el peso que
292.280;297.440;ALEX;tenga cada confederación y las posibilidades de representar cada una. A mí me parece interesante
297.440;305.280;ALEX;el hecho de que podamos ver en futuras ediciones si se decide ampliar el formato. Porque yo me
305.280;311.680;ALEX;imagino ampliar en cuanto a cupo. Me parecería... A mí eso ya... Yo te digo, a mí no me gustaría,
311.680;317.280;ALEX;pero... No, no, conocemos a la FIFA. Vale. O sea, claro, hay que saber de quién hablamos. La FIFA ha hecho esto para sacar dinero, evidentemente.
317.280;326.000;NAHUEL;Por eso hay que alabar lo que está bien hecho mientras esté bien hecho. Claro, claro. Pero todos sabemos qué collar tiene ese perro. Claro, pero... Y ojo,
326.000;333.760;MIGUEL;que voy a decir una cosa, que igual también es impopular, que esto es una industria. Sí, claro. A mí me gusta el fútbol por otras cosas,
333.760;339.640;MIGUEL;pero también entiendo que la gente que organiza el fútbol lo gestione de esa manera. Sí. A mí el problema
339.640;345.280;MIGUEL;es cuando eso aprieta todavía más el calendario, que es una de las cosas evidentemente negativas,
345.280;352.400;MIGUEL;y cuando se hace sin ton ni son. Necesitaba el fútbol... Estamos hablando sólo del mundial. Claro. Que luego lo tiene. Claro, exactamente.
352.400;358.000;MIGUEL;¿Necesitaba el fútbol o un mundial de clubes? Bueno, yo creo que el mundialito era... El mundialito me sobraba. Es que...
358.000;364.280;NAHUEL;De hecho... De eso no tenía ese sentido. Claro, claro. De hecho, yo creo que... Claro, al fin eso es una industria, todo el mundo quiere poner sus partidos,
364.280;370.920;NAHUEL;pero la creación del mundial de clubes a mí me llevaría a plantearme eliminar lo que ahora quieren convertir... Absolutamente.
370.920;378.040;MIGUEL;...la Copa Intercontinental. Entiendo. Sí, porque eso no... Claro, eso va cada año y esto es cada cuatro. Pero estoy completamente acuerdo.
378.040;385.640;MIGUEL;Al final es un poco lo de... El paso de la Supercopa antigua a la Supercopa actual... Dices... Hay cosas que están mal de ese proceso.
385.640;393.080;MIGUEL;Y a mí que se juegan a la DSOD, me gustan 3-0 y menos 10. Pero a nivel formato, a nivel fútbol... Ostras. Es una mejora.
393.080;400.360;NAHUEL;Oye, y si hacemos la Supercopa cada cuatro años también... Ostras. Esto me gusta un poco. Pero... No, porque si propones esa idea,
400.360;405.320;MIGUEL;lo que va a pasar es que va a haber Supercopa cada año y luego Super-Supercopa cada cuatro. Así que cuidado con las ideas que dan.
405.320;410.360;ADRIAN;Cuidado, Nao. Cuidado, Nao. Oye, Nao, y si con el mundial de clubes cogemos una clasificación completa con todos los equipos...
410.360;421.440;MIGUEL;Y el Super... ...los equipos pueden mucho partido. A mí hay una cosa que me gusta del mundial de clubes es que no cuenta los títulos conseguidos en Juegos Olímpicos como estrella.
421.440;423.440;NAHUEL;¡Nooo!
423.440;432.440;NAHUEL;Bueno, yo estoy viendo muchas clasificaciones hablando de campeones del mundo de clubes y se han metido todos los formatos que ha habido.
432.440;438.440;NAHUEL;Sí, sí. Ha habido, si por haber, organizados por la FIFA. Así que menos lobos que a Perucita.
438.440;445.440;ALEX;Venga, venga. Miguel, ahora vas y vuelves. Yo tuve la oportunidad de ir a un mundial de clubes en 2018 con el formato anterior y vamos.
446.440;455.440;ALEX;Ni la mitad de la mitad de la mitad del ambiente que hay en este. Y mira que en aquel fue River que sí que llevó bastante gente, etc. Pero vamos, es que ni se le acerca.
455.440;460.440;MIGUEL;Ojo, que al mundial de clubes le falta historia, le falta el recuerdo...
460.440;461.440;MIGUEL;Ganar prestigio.
461.440;472.440;MIGUEL;Le falta el prestigio, le falta los precedentes, ¿no? Que el día de mañana Boca vuelva a irse a Oakland y vas con él, ¿sabes? Eso es lo que mola el mundial de clubes.
472.440;482.440;MIGUEL;Nowell tiene esa historia abierta, Uruguay, con gana. Dices ¿en qué momento va a haber esa rivalidad? Bueno, pues con los partidos. Eso le falta al mundial de clubes, pero eso no se puede ganar en la primera edición.
482.440;487.440;MIGUEL;Otra cosa que me has dicho, Nowell, y estoy muy de acuerdo, es que Estados Unidos está empeorando el torneo.
487.440;495.440;MIGUEL;Creo que muchas de las críticas que recibe el mundial de clubes realmente las recibe por la sede, no por lo que es el concepto del mundial.
496.440;505.440;NAHUEL;Es todo muy artificial. Ya no es un país que tenga poca cultura futbolística, no son las críticas de Sudáfrica 2010, por ejemplo.
505.440;511.440;NAHUEL;Es que es la sensación de que vas a Estados Unidos y te tienes que adaptar a Estados Unidos, ¿no?
511.440;516.440;NAHUEL;Y las presentaciones estas que no tienen ningún tipo de sentido, la cuenta atrás antes del pitido...
516.440;523.440;NAHUEL;Oye, yo entiendo que somos a veces un poco inmovilistas, los aficionados al fútbol, pero...
523.440;524.440;NAHUEL;Pero a veces lo somos con razón.
524.440;536.440;NAHUEL;Claro, claro. A mí todo esto me sobra bastante. Luego podemos entrar también en el tema de los partidos en pleno verano a puro rayo de sol.
536.440;544.440;MIGUEL;Dobles cooling breaks. Es que eso es muy importante. Porque hay una cosa que no se puede cambiar.
544.440;550.440;MIGUEL;Esto se mete. Es un input a un calendario ya super sobresaturado.
551.440;560.440;MIGUEL;Entonces, ¿qué tienes que hacer? Pues intentar que las condiciones favorezcan al desarrollo del fútbol en vez de perjudicarlo a unos jugadores que ya están fatigados, cansados...
560.440;565.440;NAHUEL;Y hay una solución bastante sencilla para el tema calor, temperaturas y demás.
565.440;571.440;NAHUEL;Está tendiendo FIFA a dar mucho protagonismo a hemisferio norte.
571.440;578.440;NAHUEL;Ya sea con el tema de países árabes, tenemos el tema de Marrocos, Portugal, España con el mundial del 30...
578.440;583.440;NAHUEL;Oye, dar el mundial de clubes a Ases del lado sur y juegas en invierno.
583.440;588.440;MIGUEL;Júralo entre Argentina y Uruguay que a mí me hubiese encantado. Creo que ahí sí que hay un...
588.440;594.440;ADRIAN;Es un margen de mejora importante. Creo que además a corto plazo pensando en el mundial de selecciones del próximo verano.
594.440;598.440;ADRIAN;Creo que la FIFA debe tomar nota y ver qué va a tener. Y lo de las tormentas, chicos.
598.440;604.440;ALEX;Lo de las tormentas para mí es lo más preocupante. Obviamente las temperaturas, pero creo que siempre se han jugado mundiales con altas temperaturas.
605.440;606.440;ALEX;Sí, pero...
606.440;608.440;ALEX;Pero el tema de los retrasos, etc.
608.440;612.440;MIGUEL;Pero es algo que tienes que cuidar incluso más porque Luis Enrique se ha quejado los dos partidos que ha ganado.
612.440;615.440;MIGUEL;Cosa que me gusta mucho. Que las quejas vengan en las victorias.
615.440;619.440;MIGUEL;Se ha quejado del calor y del terreno. Y es verdad. Eso hay que cuidarlo.
619.440;622.440;MIGUEL;O sea, si ya tienes a jugadores que están en un tramo complicado de la temporada...
622.440;625.440;MIGUEL;Ostras, no me metas en una sede con 35 hogares.
625.440;627.440;NAHUEL;Primero por el soldado de los jugadores. Claro.
627.440;629.440;NAHUEL;Primero por ellos. Y luego por el espectáculo.
629.440;630.440;MIGUEL;Exactamente.
630.440;633.440;MIGUEL;Dicho lo cual, hay una cosa que me gusta del calendario.
633.440;636.440;MIGUEL;Que es que favorece, Adri, la igualdad entre confederaciones.
636.440;643.440;MIGUEL;Si el mundial de clubes estuviese en diciembre, creo que la diferencia entre UEFA y Conmebol...
643.440;645.440;ALEX;El caso es botafogo. Clarísimo. Vamos.
645.440;647.440;MIGUEL;Claro. Es que les pillaba muy mal antes.
647.440;655.440;MIGUEL;Y creo que puestos a fastidiar a alguien, pues yo creo aquí en una especie de discriminación positiva, fastidia al que tenga más pasta que es a la UEFA.
655.440;660.440;ADRIAN;Sí. A los europeos que van a llegar reventados después de su temporada pero que lo va a igualar.
660.440;661.440;ADRIAN;Es un pequeño handicap.
661.440;664.440;ADRIAN;Sí, sí. Y yo lo compro, eh. Me parece bien.
664.440;667.440;ADRIAN;Y además, el otro día lo recocía Sabegroso directamente.
667.440;670.440;ADRIAN;Que decía que muchos eurocentristas llegábamos con el prisma de...
670.440;673.440;ADRIAN;Bueno, seguro que Europa va a dominar este torneo.
673.440;676.440;ADRIAN;Y los sudamericanos, el resto de confederaciones, no van a tener nada que hacer.
676.440;681.440;ADRIAN;Y fíjate que bien lo están igualando aprovechando, primero, el ritmo competitivo que llevan.
681.440;684.440;ADRIAN;Y segundo, la voluntad y el querer hacer algo importante en este torneo.
684.440;695.440;NAHUEL;A la verdad, a mí me gustaría, estoy de acuerdo con la reflexión, pero hay una discriminación bastante negativa que es el tema del dinero por participar que se le da a cada club.
695.440;696.440;NAHUEL;Mira, otro bueno.
696.440;699.440;NAHUEL;Que al final parece sangue alante. O sea...
699.440;701.440;MIGUEL;¿Crees que debería ser igualitario?
701.440;708.440;NAHUEL;Sí, sí. Es que que gane diez veces menos el representante de Doce Anías respecto a los top de Europa.
709.440;713.440;NAHUEL;O sea, quieres crear un torneo lo más igualado posible.
713.440;716.440;NAHUEL;Intentáis equipar también un poquito más los precios.
716.440;720.440;NAHUEL;Sé que es una utopía, sé que es el país de la piruleta, pero está mal y hay que decirlo.
720.440;723.440;MIGUEL;Aquí hablaba también la FIFA.
723.440;728.440;MIGUEL;Y no creo que sea la motivación principal, pero puedo comparar un poco el argumento.
728.440;731.440;MIGUEL;Que es que podrías, metiendo tanto dinero...
731.440;735.440;MIGUEL;Imagínate que hace un trabajo increíble...
735.440;737.440;MIGUEL;Bueno, es que a O'Clan City es muy complicado.
737.440;741.440;MIGUEL;Pero River Plate. 90 millones en el mercado River Plate.
741.440;745.440;MIGUEL;Desigualas mucho la Liga Argentina.
