start_sec;end_sec;speaker;text
0.000;7.520;MIGUEL;Ya os avisamos que los viernes va a seguir habiendo Q&A aunque haya acabado la temporada 24-25 o más
7.520;12.040;MIGUEL;o menos porque tenemos mundial de clubes, ya hablaremos del mundial suficiente la próxima
12.040;16.880;MIGUEL;semana pero hoy este Q&A se va a centrar sobre todo en el mercado de fichajes.
16.880;31.100;MIGUEL;Te pasa pizarritas ya estamos aquí los de siempre y como siempre de forma variadita y
31.100;35.600;MIGUEL;picadita Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿cómo estáis chicos? ¿Qué tal chicos?
35.600;43.560;MIGUEL;¿Cómo estamos? ¿Qué tal? Muy buenas. Muy buena Cami, la de Adrián Blanco, el cual por cierto viene
43.560;51.320;MIGUEL;siendo cada vez más elogiado por la creciente distancia entre un hombro y otro. Sí, sí, ya
51.320;57.800;ALEX;hay cuatro euros de carrera de taxi que diría Alberto de Yogo, hay todavía seis euro. Ya hay
57.800;64.080;MIGUEL;gente que se está empezando a plantearse cosas, que se está haciendo preguntas, preguntas para
64.080;70.720;ADRIAN;los que quizás no tiene respuestas. Bueno, oye, abierto. ¿Hay algo ilegal ahí? ¿Hay algo ilegal?
70.880;79.400;ADRIAN;No, de momento no. De momento no. Me gusta porque dice de momento. La cosa tira hacia adelante. No,
79.400;84.720;NAHUEL;no, siempre natis, chicos, siempre natis. ¿Cómo que natis? ¿Puedo pegar ya el primer palo? Sí,
84.720;92.560;NAHUEL;por favor. Creo que es de las peores camisetas del Levante que yo he visto. Sí, bueno. A todo
92.560;98.640;ADRIAN;peor el Levante, pero es una camiseta cuestionable. Bueno, activamos el... A parte de Adrián Blanco,
98.800;105.320;NAHUEL;así de grande, así de fuerte, parece Nikola Vuksevich. Sí, sí, sí. Te vas a trabajar, eh.
105.320;115.640;MIGUEL;Activamos el contador de suegreos, van uno. A ver dónde acabamos. La media es prometedora. A mí me
115.640;122.120;MIGUEL;mola, eh, porque siempre las camisetas del Levante me molan. El toquecito granota y no tan azulgrana
122.120;127.360;MIGUEL;como Eibar Barca creo que queda muy bien con ese tipo de azulgrana. A ver, a mí me amaba porque el
127.680;133.280;ADRIAN;Levante abrió su outlet y me tocó bien. No, no. Adiós. Adiós. Lo peor que te puede pasar.
136.600;143.280;NAHUEL;Esto es lo peor que te puede pasar. Jaque mate. No me lo puedo creer, tío. No me lo puedo creer.
143.280;150.240;NAHUEL;Bueno. Vamos a apañar esto como se puede. Además es que... Cago en diez, encima está lleno de polvos.
150.240;160.560;ALEX;Las hierbitas del mate son aputadas, eh. Ay, qué putada. Se cuela por todos lados. La alfombrilla
160.560;168.200;MIGUEL;está para limpiarla después. Nada, nada. Yo... Bueno, estaba diciendo... Sí, sí. No, pero no sé si empezar
168.200;174.920;MIGUEL;o aflitarte mientras... A ver, puedes hacer dos cosas a la vez. Yo sé que te cuesta un poco eso,
174.920;181.080;MIGUEL;Miguel, que es un reto profesional, pero... Tengo mi cámara aquí, ¿vale? Y os tengo vosotros ahí.
181.080;188.440;NAHUEL;Entonces... Vale. Todavía... Mira, deja de mirarme un segundo y me tiran de la primera pregunta y
188.440;196.400;MIGUEL;la tengo por texto, ¿eh? Me parece, me parece de bien. José BJ17 pregunta si creemos que la
196.400;203.000;MIGUEL;flexibilidad de las normas del fairplay va a propiciar que más equipos tengan más posibilidades
203.000;208.040;MIGUEL;de retener a sus jugadores clave. Recordamos que la liga ha cambiado alguna que otra cosita,
208.040;214.320;MIGUEL;ha matizado alguna que otra norma, ha flexibilizado en resumen algún que otro criterio referido,
214.320;220.920;MIGUEL;por ejemplo, a establecer un límite mínimo del 30% de la cifra de negocio, que a veces veíamos
220.920;225.480;MIGUEL;alguna cifra rarísima, por ejemplo, del Sevilla, que dices que no tiene sentido, entonces lo han
225.480;234.360;MIGUEL;dejado en 30%. Luego ha establecido algo que se llama... ¿Hadón Salto, no? No he entendido,
234.360;239.280;NAHUEL;no he entendido, pero bueno... Vas a ver un mensaje que había petado la cámara y he tenido que
239.280;244.240;NAHUEL;refrescar. Vale, vale, vale. No quería explicarlo, quería que pasara de puntillas, pero bueno, ya que
244.240;249.920;NAHUEL;nos paramos de nuevo, esto está siendo muy complicado, ¿eh? Luego la liga ha creado algo que se
249.920;254.520;MIGUEL;llaman como fichajes a cámara lenta, en el sentido de que permite inscribir a futbolistas con la
254.520;263.360;MIGUEL;garantía de que luego, durante el año, se cree ese espacio salarial para realizar esa inscripción.
263.360;267.800;MIGUEL;Y luego, por último, también la liga, y esto me parece importante porque quizás va referida a la
267.800;273.880;MIGUEL;pregunta de José, la liga también ha reflexibilizado las reglas para renovar a jugadores menores de 24
273.880;281.400;MIGUEL;años, incluso si el club no tiene espacio salarial, sino está en el 1-1. Es decir, que con esto los
281.400;288.240;MIGUEL;clubes van a tener más facilidad para negociar según qué fichajes y también según qué renovaciones.
288.240;294.160;MIGUEL;¿Cuánto va a permitir a los clubes retener su talento? Hombre, no creo que vaya a cambiar una
294.160;300.160;MIGUEL;barbaridad, pero sí que es verdad, Zadri, que así quizás muchos clubes dejan de tener una posición
300.160;305.320;MIGUEL;perdedora en el mercado. Esto es lo que veníamos criticando. No es que el límite salarial no fuese
305.320;309.960;MIGUEL;justo, que eso, oye, son los criterios que establecen entre todos, los aprueba la liga, la liga son los
309.960;315.360;MIGUEL;clubes, bien, parante, pero si solo la liga se establece con ese límite salarial y el resto de
315.360;321.400;MIGUEL;ligas hacen un poquito, la mayoría, lo que les da la gana, pues deja en una posición, insisto, de
321.400;327.520;MIGUEL;indefensión al fútbol español cuando luego acude al mercado común. Absolutamente, yo creo que dentro
327.520;333.480;ADRIAN;de un control, que esto no se vuelva a alocar y los clubes se vuelvan a hundir dentro de las deudas
333.480;337.560;ADRIAN;con la ciencia de la seguridad social, yo creo que en todo un control, creo que los cuatro somos
337.560;341.560;ADRIAN;partidarios de que hay que flexibilizar un poquito la norma y que hay que tratar de ser un poquito
341.560;346.400;ADRIAN;más creativos, un poquito más flexibles para dar un poquito más de margen en el mercado, es que si
346.400;350.720;ADRIAN;no, del contrario, estamos viendo que cada vez que se abre el mercado de fichajes España se estaba
350.720;358.520;ALEX;convirtiendo en un mercadillo. Es inevitable que venga un Brighton de turno, un Chelsea,
358.520;364.120;ALEX;eso va a seguir pasando y se lo va a llevar. A veces que cobran de media cobran 100 kilos más que los equipos
364.120;370.040;MIGUEL;españoles por los derechos. Y la masa salarial muchas veces, por ejemplo, hace que esa cláusula de
370.040;375.120;MIGUEL;los jugadores, de los jóvenes talentos, no pueda ser todo lo que le gustaría, no se trata de poner
375.120;380.240;MIGUEL;venga 100 millones de cláusulas, este joven talento que tengo aquí, tiene que ir acorde al salario.
380.240;386.440;MIGUEL;Yo recuerdo a varios clubes hablar del modelo, no sé si me equivoco, el modelo alemán que
386.440;392.200;MIGUEL;hacía esto en trienios, a la hora de calcular el tema del límite salarial o se hacía que los
392.200;397.720;MIGUEL;clubes tuviesen cierto margen para tener un año quizás de ciertas pérdidas e inversión, pero que
397.720;405.920;MIGUEL;en tres años se compensase. Creo que hay que controlar... Esto no era tanto el límite salarial,
405.920;410.920;NAHUEL;sino que a la hora de hacer el reparto de los derechos de televisión se tenía en cuenta como
410.920;416.800;NAHUEL;el ranking de UEFA en las últimas cinco temporadas, que por eso fue por lo que el Leipzig tardó tanto
