start_sec;end_sec;speaker;text
0.000;9.300;SPEAKER_02;¿Qué pasa, pizarritas? Ya estamos aquí un viernes más para responder vuestras sabias e interesantes cuestiones que nos dejasteis el otro día en Twitter.
9.300;12.200;SPEAKER_02;Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿cómo estáis?
12.200;14.800;SPEAKER_02;¿Qué tal, chicos? Muy buenas. ¿Cómo andamos?
14.800;22.000;SPEAKER_02;¿Qué tal? Muy buenas. No quiero hacer de menos la camiseta de Nahuel Miranda, pero, hombre, la de Alex y la de Adri...
22.000;23.700;SPEAKER_02;¿Camisetones, no?
23.700;24.500;SPEAKER_02;¡Fines!
24.500;26.000;SPEAKER_00;Mira, Puli, mira, Puli.
26.000;27.000;SPEAKER_00;¿Qué? Bueno.
27.000;27.500;SPEAKER_02;Pagan.
27.500;29.000;SPEAKER_02;Bueno, no pagan.
29.000;30.000;SPEAKER_02;Ah, ¿sabes?
30.000;31.000;SPEAKER_02;No, no pagan.
31.000;33.000;SPEAKER_02;A mí me han pagado por ir a torneos de Pickleball.
33.000;36.000;SPEAKER_01;¡Ah! Pickleball, eh.
36.000;38.000;SPEAKER_01;En uno de mis incontables...
38.000;39.000;SPEAKER_02;Trinques, eh.
39.000;41.000;SPEAKER_02;Images tuosos. Trinques. Hay que...
41.000;42.000;SPEAKER_02;El trinque de Karlovic.
42.000;47.000;SPEAKER_03;Hay que alimentar muchas bocas, entre ellas vuestras tres boquitas.
47.000;50.000;SPEAKER_03;El caso, hoy, hablando de camisetas...
50.000;52.000;SPEAKER_03;Pero, pero, si eso trincaste solo tú.
52.000;58.000;SPEAKER_02;Bueno, pero para que vosotros podáis trincar de otras cosas, yo trinco aquí, ¿sabes?
58.000;60.000;SPEAKER_02;Para que vosotros podáis ganar, yo gané antes.
60.000;61.000;SPEAKER_02;Miel, miel.
61.000;62.000;SPEAKER_03;¿No?
62.000;63.000;SPEAKER_03;No cuela.
63.000;65.000;SPEAKER_03;¿Has trincao? ¿Has trincao a tope con trincar?
65.000;66.000;SPEAKER_03;No me perdones la verdad.
66.000;68.000;SPEAKER_02;De cara, eh. De cara, hay que ir de cara.
68.000;69.000;SPEAKER_02;Trincando hay que ir de cara.
69.000;80.000;SPEAKER_02;Bueno, el caso, hoy vamos a regalar camisetones, incluso mejores que los que tenéis, porque son de Gambea, son personalizados y son para uno de los cuatro siguientes equipos,
80.000;86.000;SPEAKER_02;que son, básicamente, los que han ganado o al menos que están como candidatos en el sorteo de Gambea.
86.000;92.000;SPEAKER_02;Los de Gambea se han currado una barbaridad, les hemos pedido un vídeo para dilucidar, para tener más argumentos.
92.000;95.000;SPEAKER_02;Los cuatro elegidos son Julepe.
95.000;96.000;SPEAKER_02;Julepe.
96.000;101.000;SPEAKER_02;Los Chavales del Sella, que estarán, imagino, con tu camiseta, Alex.
101.000;105.000;SPEAKER_02;Equipete Fútbol Club, que ahora es que han hecho un vídeo muy fino.
105.000;110.000;SPEAKER_02;Y somos Usera Gout, que directamente son Alfred Kitt, Hit Coach.
110.000;111.000;SPEAKER_02;¿Cine?
111.000;115.000;SPEAKER_00;Mira que podrías haber dicho, no sé, Nolan, para asegurar.
115.000;116.000;SPEAKER_00;Kubrick.
116.000;117.000;SPEAKER_03;Kubrick.
117.000;118.000;SPEAKER_03;Hit Coach.
118.000;119.000;SPEAKER_03;Rally Scott, no.
119.000;120.000;SPEAKER_03;Almas Chungos.
120.000;124.000;SPEAKER_02;¿Cómo ha llamado hoy al nuevo propietario del Récord de Porto Español?
124.000;125.000;SPEAKER_03;Alan Pisz.
125.000;126.000;SPEAKER_02;Alan Pisz.
126.000;127.000;SPEAKER_02;Alan Pisz.
127.000;128.000;SPEAKER_02;Alan Pisz.
128.000;129.000;SPEAKER_02;Alan Pisz.
129.000;130.000;SPEAKER_03;¡Qué nombre que no!
130.000;131.000;SPEAKER_03;Hay que confiar en Alan Pisz.
131.000;135.000;SPEAKER_03;Es cuando en Ion Sowitz se impone un rival, ¿no?
135.000;136.000;SPEAKER_02;Pisz and Love, ¿no?
136.000;137.000;SPEAKER_02;¿Lo sabéis?
137.000;138.000;SPEAKER_02;¿La famosa anécdota esa?
138.000;139.000;SPEAKER_02;Sí, sí.
139.000;140.000;SPEAKER_02;No nos ha contado nunca.
140.000;144.000;SPEAKER_02;Bueno, igual hay que escribir un artículo si acabo el del Boxing Day este año.
144.000;148.000;SPEAKER_02;El caso, vamos con la primera cuestión de este Q&A y diremos quién es el ganador de
148.000;152.000;SPEAKER_02;este sorteo con Gambea después de la quinta pregunta, ¿vale?
152.000;153.000;SPEAKER_02;Vale.
153.000;154.000;SPEAKER_02;Hoy son 11.
154.000;155.000;SPEAKER_02;¿11?
155.000;156.000;SPEAKER_02;Es que son muy buenas.
156.000;159.000;SPEAKER_02;Y he dicho, no puedo dejar ninguna fuera.
159.000;160.000;SPEAKER_01;¿Al mismo precio?
160.000;161.000;SPEAKER_02;¿11 al mismo precio?
161.000;162.000;SPEAKER_02;En principio sí.
162.000;163.000;SPEAKER_02;Vale.
163.000;164.000;SPEAKER_02;Ah, venga.
164.000;168.000;SPEAKER_02;Aquí trinco yo, no trinquéis vosotros.
168.000;173.000;SPEAKER_02;Primera, primera cuestión de Tecchio Ryoku No Mao.
173.000;174.000;SPEAKER_02;Jue.
174.000;175.000;SPEAKER_??;Ejícice.
175.000;181.000;SPEAKER_02;Ya va siendo hora de hablar de Martín Zubimendi por delante de Rodri de cara al Mundial.
181.000;185.000;SPEAKER_02;Este es un tema que yo creía que solo íbamos a tratar aquí, pero que tratamos el otro
185.000;186.000;SPEAKER_02;día en la pizarra.
