start_sec;end_sec;speaker;text
0.000;4.480;SPEAKER_00;Un día más os traemos un vídeo reaccionando a vuestras opiniones impopulares.
4.480;8.480;SPEAKER_00;Y decimos impopulares porque en realidad deberíamos decir de mi...
12.120;17.080;SPEAKER_00;Un momento, un momento, antes de que arranque el vídeo dejadme contaros que se acerca un nuevo viaje de la media inglesa
17.080;19.880;SPEAKER_00;al fin de semana del 18 y 19 de octubre.
19.880;25.320;SPEAKER_00;Viajamos a Inglaterra para vivir en directo un nuevo partido del Harvard Tank como hicimos la temporada pasada.
25.320;29.360;SPEAKER_00;Por solo 289 euros que incluye todo el fin de semana.
29.360;33.720;SPEAKER_00;El viernes saldremos desde Londres en autobús hacia Leicester.
33.720;37.080;SPEAKER_00;Esa noche ya estaremos ahí en Leicester tomando unas cervecillas.
37.080;41.000;SPEAKER_00;Sábado haremos un tour por Leicester por la mañana.
41.000;44.800;SPEAKER_00;Nos iremos a Harvard para ver el partido y vivir el tercer tiempo con los muchachos.
44.800;49.880;SPEAKER_00;Y por la noche, sábado por la noche en Leicester, los que hayan venido a otros viajes ya saben lo que les espera.
49.880;51.880;SPEAKER_00;Y domingo regreso a Londres.
51.880;54.200;SPEAKER_00;¿Qué incluyen esos 289 euros?
54.240;61.640;SPEAKER_00;Lo que no incluyen son los vuelos, pero sí que incluyen todos los traslados en autobús, dos noches de hotel, desayuno y por supuesto la entrada al partido.
61.640;66.960;SPEAKER_00;Con el enlace que tenéis aquí abajo podéis comprar ya vuestro viaje para acompañarnos,
66.960;71.480;SPEAKER_00;para ir juntos con toda la comunidad de la media inglesa a vivir este partido el sábado 18 de octubre.
71.480;72.480;SPEAKER_00;Os esperamos.
73.640;79.280;SPEAKER_00;Hay días, Pablo, bautizos, comuniones y bodas en los que uno se tiene que vestir bien.
79.280;83.600;SPEAKER_00;Hoy es el caso porque me he puesto la camiseta de mi querido Aro deportivo.
83.640;84.360;SPEAKER_00;Increíble.
84.360;89.160;SPEAKER_00;Porque mi hermano Dani, el presidente del Aro deportivo me lo ha hecho llegar y estoy orgulloso.
89.160;94.760;SPEAKER_01;Pesic dijo que hay dos cosas que me faltan en mi vida, mi familia y mi Yugoslavia.
94.760;98.920;SPEAKER_01;A ti hasta el día de hoy te faltaban dos cosas y una era el Aro deportivo.
98.920;100.560;SPEAKER_01;Un pincel la madre que me parió.
100.560;101.160;SPEAKER_00;De Aro.
101.160;102.840;SPEAKER_00;Visitar Aro y el Aro deportivo.
102.840;104.640;SPEAKER_00;De Aro es luz de la fuente.
104.640;105.440;SPEAKER_00;Luz de la fuente.
105.440;108.720;SPEAKER_00;Hombre que le ha estrechado la mano más de una vez a mi hermano Dani.
108.720;113.240;SPEAKER_00;Es una estrechada de manos que genera onda expansiva.
113.280;116.680;SPEAKER_01;Alí muy cercano a mí vio a luz de la fuente hace nada.
116.680;118.440;SPEAKER_01;Un mes, mes y medio, eso es donde le vio.
118.440;121.240;SPEAKER_01;En un sitio donde te lo esperas y te vio con Aro.
121.240;122.200;SPEAKER_01;En una bodega.
122.200;126.640;SPEAKER_01;En una bodega de vinos estaba luz de la fuente haciendo la visita con el resto de la gente.
126.640;128.760;SPEAKER_00;El luz de la fuente va a saber mucho de vinos.
128.760;131.480;SPEAKER_00;Va a agarrar muy bien la copa, ese tipo de cosas.
131.480;133.120;SPEAKER_00;Y desde fútbol, vinos y gym.
133.120;134.120;SPEAKER_00;Y ya está.
134.120;136.120;SPEAKER_01;Luz de la fuente al final es el sueño de los pibes.
136.120;137.040;SPEAKER_01;Y España.
137.040;139.760;SPEAKER_00;España, coño, el mejor campeón de Europa.
140.560;146.040;SPEAKER_00;Pues nada amigos, dicho esto vamos a ir con nuestro vídeo de opiniones impopulares.
146.040;150.760;SPEAKER_00;Porque os hemos pedido opiniones impopulares y estas son las que nos habéis hecho llegar.
150.760;152.800;SPEAKER_01;La edición número 11.
152.800;156.040;SPEAKER_01;Queríamos hacer uno al mes y hemos hecho 11 en casi dos años.
156.040;157.560;SPEAKER_01;Así que bueno, no lo estamos cumpliendo.
157.560;159.720;SPEAKER_01;Es un vídeo que os gusta mucho y aquí os lo traemos.
159.720;162.760;SPEAKER_01;Os ha elegido chozas y nosotros lo vamos a leer por sorpresa.
162.760;165.840;SPEAKER_01;Las hemos cogido tanto de Discord como de Twitter.
